tagalog,english,cebuano
Ang mga baka ay nagbibigay sa atin ng gatas.,Cows give us milk.,Ang mga bata kay nagahatag sa atoa og gatas.
May dalawang anak na lalaki si John.,John has two sons.,Naay duha ka anak nga laki si John.
Lumipad ang aming eroplano nang eksaktong alas 6 ng gabi.,Our plane took off at exactly 6 pm.,Nlupad ang among eroplano og eksakto alas 6 sa gabii.
Ang mga patalastas ang nag-uudyok sa ating bumili ng maluluhong bagay.,Advertisements motivate us to buy luxury items.,Ang mga impormasyon nga naga-anyag sa atoa nga mopalit og mahalon nga mga butang.
Bagay talaga sa kanya ang maikling buhok.,Short hair really suits her.,Angay gyud sa iya ang gamay nga buhok.
Mabuhay ang Republika!,Long live the Republic!,Mabuhay ang Republika!
Pinapalo ni Tom si Mary.,Tom beat Mary.,Ginabunalan ni Tom si Maria.
Tinuturuan ako ni Tom ng wikang Pranses.,Tom teaches me French.,Ginatudloan ko ni Tom og sinulti-an nga Pranses.
Mapili ka talaga.,You're really picky.,Pilian gyud ka.
Dumating siya sa Tokyo sa edad na 18.,He arrived in Tokyo at the age of 18.,Niabot siya og Tokyo sa edad nga 18.
Sang-ayon ako sa lahat ng sinabi mo.,I agree with everything you said.,Uyon ko sa tanan nga imong gisulti.
May dalawang kundisyon ako.,I have two conditions.,Naa koy duha ka kondisyon.
Gusto mo ng prutas.,You like fruit.,Ganahan ka og prutas.
May nagmamahal sa ating lahat.,Someone loves us all.,Naay nagahigugma sa atong tanan.
"Patawad, gagawin ko ang kahit ano para makumpuni iyan.","Sorry, I'll do anything to fix that.","Pasayloa, himuon nako tanan para maayo na."
Kailan iyon nangyari?,When did that happen?,Kanus-a to nahitabo?
Kailan nangyari ang ano?,When did what happen?,Kanus-a nahitabo ang unsa?
Hindi niya kinain ang lahat ng kakanin.,He didn't eat all the food.,Wala niya gikaon ang tanan nga makaon.
Sana sinabi mo sa akin kahapon.,I wish you had told me yesterday.,Unta giingun nimo sa akoa gahapon.
Natutulog ako nang nakatayo.,I sleep standing up.,Nagatog ko nga nagatindog.
Gaano katagal ka na sa Shanghai?,How long have you been in Shanghai?,Unsa na ka kadugay sa Shanghai?
May malalaking bato sa lupa.,There are big stones on the ground.,Naay daku nga bato sa lupa.
Ako ang iyong kambal.,I am your twin.,Ako ang imohang kambal.
"Hindi nagbubunga ng pera ang puno, alam mo.","A tree doesn't produce money, you know.","Di nagabunga og kwarta ang punoan, kabalo ka."
Sabihin mo na lang sa kanya ang totoo.,Just tell him the truth.,Ingna na lang sa iyaha ang kamatuoran.
Ano ang nangyari sa aso mo?,What happened to your dog?,Unsay nahitabo sa imong iro?
Bakit ka nagsasalita sa kanya na parang siya ay matanda?,Why are you talking to him like he's old?,Ngano naga-istorya ka sa iyaha nga mura siya og tigulang?
Gagawin ko ang lahat ng makakaya ko.,I will do my best.,Himuon nako sa tanan nakong makaya.
Tahimik at makinig!,Be quiet and listen!,Hilom ug paminaw!
Nagbulakbol si Tom.,Tom blurted out.,Nagpabadlong si Tom.
Parang walang kahit sino ang nakaka-alam sa sagot.,No one seems to know the answer.,Murag walay bisan kinsa ang nakabalo sa tubag.
Ang ganda sa pakiramdam.,It feels good.,Nindot sa pamati.
"Binili ni Tom ang kamerang ito para sa kanyang sarili, hindi para sa kanyang asawa.","Tom bought this camera for himself, not for his wife.","Gipalit ni Tom kining kamera para sa iyahang sarili, di para sa iyang asawa."
Mas malalakas ang mga leyon kaysa mga lobo.,Lions are stronger than wolves.,Mas mangkakusog ang mga leyon kaysa sa mga lobo.
Bago ang kompyuter.,The computer is new.,Bag-o ang kompyuter.
Maaaring tama si Tom.,Tom may be right.,Pwede nga tama si Tom.
Dalhin mo lamang ang pinaka-importante.,Bring only the most important.,Dad-a lamang ang pinaka-importante.
Huwag lumabas pagkatapos ng dapithapon.,Do not go out after midnight.,Ayaw og gawas inig hapit na ma-gabii.
Magkano ang utang ko sa iyo?,How much do I owe you?,Pila ang utang nako nimo?
Sabihin mo sa akin kung paano niya nakuha iyon.,Tell me how he got that.,Iingon sa akoa kon giunsa niya og kuha ato.
Ang mga asal niya ay hindi tulad ng isang babae.,Her manners are not like a woman.,Ang mga pamatasan niya kay di na parehas sa usa ka babaye.
Hindi kumakain ng maraming prutas ang tatay ko.,My father doesn't eat a lot of fruit.,Di nagakaon og daghan nga prutas ang amahan nako.
"Dahil sa kanyang malaking sweldo, nakakabiyahe siya sa ibang bansa taon-taon.","Because of his large salary, he is able to travel abroad every year.","Tungod sa iyahang daku nga sweldo, makabyahe siya sa lain-laing nasud kada tuig."
Binisita ko ang Hollywood habang ako ay nasa Los Angeles.,I visited Hollywood while I was in Los Angeles.,Gibisita nako ang Hollywood samtang naa ko sa Los Angeles.
"Siya ay mahirap, pero matapat.","He is poor, but honest.","Pobre siya, pero di matinuoron."
Napakasaya ko.,I am very happy.,Lipay kaayo ko.
Mga kaibigan: isang pamilya kung saan pinipili natin ang mga miyembro.,Friends: a family where we choose the members.,Mga amigo: usa ka pamilya nga ginapili nato ang mga miyembro.
Sino ang pangulo?,Who is the president?,Kinsa ang presidente?
Aalis akong papuntang Estados Unidos bukas.,I am leaving for the United States tomorrow.,Molakaw ko paadto og Estados Unidos ugma.
Tanyag ang parkeng ito dahil sa kanyang mga bulaklak.,This park is famous for its flowers.,Sikat ning parkeha tungod sa iyang mga bulak.
Ang trumpeta ay isang instrumentong pangmusika.,Trumpet is a musical instrument.,Ang trumpeta kay usa ka instrumento nga pangmusika.
Ipinagbabawal kitang manigarilyo!,I forbid you to smoke!,Ginabawalan ta ka nga manigarilyo!
Naramdaman niya ang init ng araw sa kanyang balat.,He felt the heat of the sun on his skin.,Nabati niya ang init sa iyang panit.
Hindi kumakain ng karne o itlog si Tom.,Tom does not eat meat or eggs.,Dili nagakaon og karne o itlog si Tom.
Imposible nang lumabas ngayon.,It's impossible to get out now.,Imposible na nga mogawas karon.
Ang kaibigan sa kagipitan ay kaibigang tunay.,A friend in need is a true friend.,Ang amigo sa kalisod kay amigo nga tinuod.
Ang dula ay hango sa totoong mga pangyayari.,The play is based on true events.,Ang dula kay gikuha gikan sa tinuod nga mga panghitabo.
"Sa tuwing pupunta ako sa bahay niya, wala siya.","Every time I go to his house, he is not there.","Kada adto nako sa iyang balay, wala siya."
Namatay siya ilang araw pagkalipas ng kanyang ika-isandaang kaarawan.,He died a few days after his hundredth birthday.,Namatay siya pila ka adlaw pagkahuman sa iyang ika-sagatos nga pagselebrar sa iyang pagkatawo.
Ikaw ay isang estudyante lamang.,You are just a student.,Ikaw kay estudyante ra.
Pulutin mo ang lapis sa sahig.,Pick up the pencil from the floor.,Kuwaa ang lapis sa bantaw.
May nakatingin sa iyo.,Someone is looking at you.,Naay nagatan-aw nimo.
Nakakatawa ka talaga.,You are really funny.,Kataw-anan gyud ka.
Alis!,Go away!,Hawa!
Napakahusay nito.,It's very good.,Kuyaw kaayo ni.
Kailangan niyang pumunta roon bukas.,He has to go there tomorrow.,Kinahanglan niya mag-adto didto ugma.
"Walang Diyos, walang Buddha.","No God, no Buddha.","Walay Diyos, walay Buddha."
Inamin niyang hindi siya marunong mag-Pranses.,He admits that he doesn't know French.,Giangkon niya nga dili sya kabalo mag-Pranses.
Ginaya niya ang mga likha ni van Gogh.,He imitated the works of van Gogh.,Gisundog niya ang mga gibuhat ni Van Gogh.
Walang kahit isang mesang bakante sa restawran.,There was not a single empty table in the restaurant.,Walay bisan usa ka lamesa nga bakante sa restawran.
Isulat mo ang iyong apelyido sa ika-apat na linya.,Write your last name on the fourth line.,Isuwat nimo ang imong apelyido sa ika-upat nga linya.
Noong isang araw kasama ko si Carlos at isa niyang kaibigan.,The other day I was with Carlos and one of his friends.,Katong usa ka adlaw kauban nako si Carlos ug iyang usa ka amigo.
Walang mas mabubuti kaysa riyan.,There is nothing better than that.,Wala nay mas maayo kaysa sa iya.
Pinilit ng mga sundalo ang mga binata na lumahok sa hukbo.,The soldiers forced the young men to join the army.,Gipugos sa mga sundalo ang mga ulitawo nga moapil sa ila.
Pakiusap tandaang patayin ang ilaw bago matulog.,Please remember to turn off the light before going to bed.,Daan nga naandan nga patyon ang suga bag-o matulog.
Binasa ko ang aklat hanggang sa pahina 80 kahapon.,I read the book up to page 80 yesterday.,Gibasa nako ang libro hangtod sa peyj 80 gahapon.
Gumawa ako ng isang manika para kay Ann.,I made a doll for Ann.,Nagbuhat ko og usa ka manika para kay Ann.
Sinubukan kong magsulat gamit ang kaliwang kamay.,I tried to write with my left hand.,Gitistingan nako ug sulat gamit akong tuo nga kamot.
Ang kutsilyong ito ay ginagamit sa pagputol ng karne.,This knife is used to cut meat.,Kani nga kutsilyo kay gigamit pangputol og karne.
Nagkaroon ba ng sapat na pera?,Was there enough money?,Naa ba tama-tama nga kwarta?
Pipiliin ko ang mamatay kaysa magnakaw.,I would rather die than steal.,Pilion nako nga mamatay kaysa sa mangawat.
Kailan iyon itinayo?,When was that built?,Kanus-a to gibuhat?
Ito ba ang susi na hinahanap mo?,Is this the key you're looking for?,Kani ba nga susi imong ginapangita?
Mas mahal niya si Tom kaysa ako.,She loves Tom more than me.,Mas gihigugma niya si Tom kaysa sa akoa.
Narinig ko iyon sa radyo.,I heard that on the radio.,Nadunggan nako to sa radyo.
Walang duda!,No doubt!,Walay duda!
Kami ay nag-aaral ng wikang Arabo.,We are learning the Arabic language.,Nagatuon mi og panulti-ang Arabo.
"Sino ang may gusto, pwedeng kumuha.","Who wants it, can take it.","Kinsa ang naay gusto, pwede mukuha."
Nagtataka ako kung may sakit talaga siya.,I wonder if he is really sick.,Natingala ko kon naa ba gyud siyay sakit.
Kumakain ng ubas ang aso ko.,My dog ​​eats grapes.,Nagakaon og parras akoang iro.
Tawagan mo ako kung nagiging mapanganib na.,Call me if it gets dangerous.,Tawagi ko kon delikado na.
Hindi ko alam kailan siya pupunta rito.,I don't know when he will come here.,Wa ko nahibalo kanus-a siya moanhi diri.
Nasaan ang bahay mo?,where is your house,Asa imong balay?
Gustong lumabas ang aso ni Tom.,Tom's dog wants to go out.,Gusto mogawas ang iro ni Tom.
Lahat kami pumasok sa kotse.,We all got into the car.,Tanan mi nisulod sa sakyanan.
Huwag kang pumasok sa kwarto ko nang hindi kumakatok!,Don't come into my room without knocking!,Ayaw og sulod sa kwarto nako nga walay panuktok!
Hindi pa ako nakakita ng ganito noon.,I have never seen anything like this before.,Wala pa ko nakakita og ing-ani sauna.
Sa tingin ko kailangan kong pumasok nang mag-isa.,I think I have to go in alone.,Sa panan-aw nako kinahanglan ko mosulod nga ako ra isa.
Nagpanggap siya bilang siya.,He pretended to be her.,Nagtakuban siya nga siya.
Bakit ayaw mong sumama sa akin sa sinehan?,Why don't you want to go to the cinema with me?,Ngano di man ka mouban sa akoa sa sinehan?
Kuba ako.,I'm a hunchback.,Buktot ko.
Matingkad na pula ang dugo.,The blood was bright red.,Sinag nga pula ang dugo.
Sa iyo ba ang librong ito?,Is this book yours?,Imoha ba ning libro?
Simula bukas hindi na ako maninigarilyo.,Starting tomorrow I won't smoke anymore.,Sugod ugma di na ko manigarilyo.
Kamayan mo ako.,hold my hand,Kamayi ko.
Huwag bumilad sa araw nang matagal.,Do not expose to the sun for a long time.,Ayaw og bilad sa adlaw nga dugay.
Hindi ko alam anong pinagsasabi mo.,I don't know what you are talking about.,Wa ka kabalo sa imong ginapangsulti.
May nakita siyang isang barko sa malayo.,He saw a ship in the distance.,Naa siyay nakita nga usa ka barko sa lagyo.
Sabihin mo sa lahat na uuwi na ako.,Tell everyone I'm coming home.,Igna ang tanan nga mouli nako.
Imbestigahan natin.,Let's investigate.,Imbestigahan nato.
Hindi Pasko ngayon!,It's not Christmas today!,Dili Pasko karon!
Ang kabayong ito ay may malalaki at magagandang mata.,This horse has big and beautiful eyes.,Kani nga kabayo kay mangkadagko ug mangkanindot ang mga mata.
"Siyempre, may katwiran siya.","Of course, he had a point.","Siyempre, naa siyay rason."
Ang lasang tsokolate ang paborito ko.,The chocolate flavor is my favorite.,Ang lasa nga tsokolate akoang paborito.
Sino ang nobyo mo?,who is your boyfriend,Kinsa ang uyab nimo?
Pinagawa niya sa amin ang trabaho.,He made us do the work.,Gipabuhat niya sa amoa ang tarbaho.
May kaunting pera na ako ngayon.,I have a little money now.,Naay gamay nga kwarta ko karon.
Hindi pa niya binasa ang aklat.,He has not read the book.,Wala pa niya gibasa ang libro.
Mahirap magkatotoo ang ganyang klaseng plano.,Such a plan is hard to come true.,Lisud matinuod ang ingun ana nga klase nga plano.
Hindi ako kumakain.,I don't eat.,Dili ko nagakaon.
Nag-aral ng Ingles si Yumi kagabi.,Yumi studied English last night.,Naga-estudyo og Ingles si Yumi gabii.
Nagniningning ang mga bituin sa langit.,The stars are shining in the sky.,Nagasiga ang mga bituon sa langit.
Paano ka aasenso nang walang mabuting edukasyon?,How can you advance without a good education?,Unsaon nimo pag-asenso og wala kay tarong nga edukasyon?
Isa siyang sikat na mang-aawit.,He is a famous singer.,Usa siya ka sikat nga tagakanta.
Ilang taon ang anak mong lalaki?,How old is your son?,Pilay edad sa imong anak nga laki.
Nagsasayang ng maraming pagkain si Tom.,Tom wastes a lot of food.,Nagakalas og daghan nga pagkaon si Tom.
Maghanap tayo ng ibang mapagtataguan.,Let's find somewhere else to hide.,Mangita ta og lahi nga kitaanan.
Natumba nang mag-isa ang puno.,The tree fell by itself.,Natumba og iya ra ang puno.
Gusto ko ang lasa ng pakwan.,I like the taste of watermelon.,Ganahan ko sa lami sa pakwan.
Tumaba ako.,I gained weight.,Nitambok ko.
Nasa Boston ako sa darating na linggo.,I'm in Boston this coming week.,Naa ko sa Boston sa umaabot nga semana.
Gusto mo ba na ilagay ko ito sa mesa?,Do you want me to put it on the table?,Gusto ba nimo nga ibutang nako ni sa lamesa?
Ikinasal kami pagkatapos ng anim na buwan.,We got married six months later.,Gikasal mi pagkahuman sa unom ka bulan.
Sinara niya ang kanyang mga mata.,He closed his eyes.,Gisarad-an niya ang iyang mga mata.
Kainin mo ang sopas mo nang walang ingay.,Eat your soup quietly.,Kaona ang sopas nimo nga walay pagbanha.
"May araw, ngunit mainit.","There is sun, but hot.","Naay adlaw, pero init."
Akala ko sinabi ko sa iyo na huwag pumunta rito.,I thought I told you not to come here.,Abi nako giingon nako sa imoha nga dili mag-anhi dinhi.
Bumili ako ng isang pares ng botas.,I bought a pair of boots.,Nipalit ko og usa ka pares sa botas.
Nobyo ni Mary si Tom bago niya nakilala si John.,Tom was Mary's boyfriend before she met John.,Uyab ni Maria si Tom bag-o pa niya nailhan si John.
Pinunas ni Tom ang mukha niya.,Tom wiped his face.,Gipahid ni Tom iyang nawong.
Humupa ang bagyo.,The storm subsided.,Nihunong ang bagyo.
Pumunta siya sa Londres noong 1970.,He went to London in 1970.,Niadto siya sa Londres tong 1970.
Dumating siya sa paaralan sa tamang oras.,He came to school on time.,Niabot siya sa eskwelahan sa tama nga oras.
Ano ang tawag sa ibon na iyan?,What is that bird called?,Unsay tawag anang langgama?
Ano ang mga pangunahing pangyayari kahapon?,What were the main events yesterday?,Unsa ang una nga nahitabo kagahapon?
Naghihintay ako ng magandang balita mula sa kanila.,I am waiting for good news from them.,Nagahulat ko og nindot nga balita gikan sa ilaha.
"Isinauli mo ang damit dahil maliit talaga, hindi ba?","You returned the dress because it was too small, didn't you?","Gibalik nimo ang sinina kay gamay gyud, di ba?"
Sampung taon na siyang patay.,He's been dead for ten years.,Napo ka tuig na siya patay.
Iyon lang ba?,Is that all?,Kato lang ba?
Mapapagod ka.,You will be tired.,Kapoyon ka.
Mananalo si Tom sa larong ito.,Tom will win this game.,Modaog si Tom aning bisyoha.
May iilang panulat ako.,I have some pens.,Naa koy maihap nga pangsulat.
Galing sa Tsina ang tsaa.,Tea comes from China.,Gikan sa Tsina ang tsaa.
Magkukuwento ako sa iyo tungkol sa kanya.,I will tell you a story about him.,Ma-istorya ko sa imoha tungkol sa iyaha.
Kasal siya sa isang dentista.,She is married to a dentist.,Kasado siya sa usa ka dentista.
"Gabi na talaga, kaya kailangan ko na matulog.","It's really late, so I have to go to sleep.","Gabii na gyud, kinahanglan na nako matulog."
Nahulog nang nahulog ang palaka.,The frog fell down.,Nahog nga nahog ang palaka.
Ano ang dapat kong gawin para makinig ka sa akin?,What do I have to do to get you to listen to me?,Unsa dapat akong himuon para maminaw ka sa akoa?
Huwag mong sabihin ang plano natin sa iba.,Don't tell anyone else about our plan.,Ayaw og iingon atong plano sa lain.
Natapos mo na ba ang takdang-aralin mo?,Have you finished your homework?,Nahuman na ba nimo imong asaynment?
Pero ano ang iyong gagawin kung hindi siya pupunta rito?,But what will you do if he doesn't come here?,Pero unsa imong buhaton kon di ka mag-anhi diri?
Madali lang sagutin iyon.,That's easy to answer.,Dali ra to tubagon.
Ano pa kaya ang pwede mong ibigay sa akin na wala pa ako?,What else can you give me that I don't already have?,Unsa pa kaha ang pwede nimo ihatag sa akoa na wala pa ko?
Alam niya ang kanyang sariling kasalanan.,He knows his own sin.,Kabalo siya sa iyang mismo nga sala.
Hindi namin sinasarhan ang aming mga pinto.,We don't close our doors.,Di namo ginasarad-an ang among mga pultahan.
Sabihin mo sa kanya kung saan siya dapat pumunta.,Tell him where he should go.,Ingna siya kon asa dapat siya mag-adto.
Palaging tumatahol ang aso sa akin.,The dog always barks at me.,Pirme mo-uma ang iro sa akoa.
Kaya tumakbo ako sa restawran ng tatay ko.,So I ran to my father's restaurant.,Maong nidagan ko sa restawran sa akong amahan.
Nakita ko ang asong maruming pumasok sa bakuran.,I saw the dirty dog ​​enter the yard.,Nakit-an nako ang iro nga hugaw nga nisulod sa tanmanan.
Mas pipiliin ko ang katas ng pinya kaysa sa katas ng pomelo.,I prefer pineapple juice over pomelo juice.,Mas pilion pa nako ang katas sa pinya kaysa sa katas sa pomelo.
Wala akong bisikleta.,I don't have a bicycle.,Wala koy bisekleta.
Gusto mo ba ang San Francisco?,Do you like San Francisco?,Ganahan ka mag San Francisco?
Ayaw ko ng mga gusali.,I don't like buildings.,Di ko gusto ug mga bilding.
Pumupunta siya sa Londres kada buwan.,He goes to London every month.,Nagaadto siya og Londres kada bulan.
Walang nakatago ang hindi makikita.,Nothing is hidden that cannot be seen.,Walay nakatago nga di makit-an.
May higit sa pitong libong wika sa buong mundo.,There are more than seven thousand languages ​​in the world.,Naay sobra pa ka-pito ka libo nga sinulti-an sa tibuok kalibutan.
Tinanong niya ako kung may web cam ako.,He asked me if I had a web cam.,Gipangutana ko niya kon naa koy web cam.
Tinatanggap niya ang mga regalo.,He accepts the gifts.,Ginadawat niya ang mga regalo.
Wala siyang bahay na mapagtitirhan.,He has no house to live in.,Wala siyay balay nga mapuy-an.
Mahalaga ang iyong pagkakaibigan.,Your friendship is important.,Importante inyong panag-amigo.
Nagturo siya ng mayayamang babaeng Indiyana.,He tutored wealthy Indian women.,Nagtudlo siya og datu nga mga babaye nga Indiyana.
Tinulungan ninyo ako at gusto ko rin kayong tulungan.,You helped me and I want to help you too.,Gitabangan ko ninyo ug gusto sad nako kamo tabangan.
Kita sa mukha niya na nainis siya.,You can see in his face that he is annoyed.,Kita sa iyang nawong nga nasuya siya.
Ang trahediya ng digmaan ay hindi dapat kalimutan.,The tragedy of war must not be forgotten.,Ang trahediya sa gubot dili dapat hikalimtan.
Kagaya kita noon.,I was like you then.,Parehas ka nako sauna.
Hindi ako nakakasalita ng ibang wika.,I don't speak another language.,Di ko nagastorya og lain nga sinulti-an.
Hindi sanay si Tom sa buhay sa lungsod.,Tom is not used to city life.,Di anad si Tom sa kinabuhi sa lungsod.
Kuntento ka ba sa kasalukuyan mong sweldo?,Are you satisfied with your current salary?,Kontento ba ka sa sweldo nimo karon?
Gusto ko makita siyang naghuhubad.,I want to see him undress.,Gusto nako makit-an siya nga nagahukas.
Bigyan mo siya ng panahon.,Give him time.,Tagae siya og higayon.
Hindi ko trabaho iyan.,That's not my job.,Di nako na tarbaho.
Wala akong pera.,I don't have any money.,Wala koy kwarta.
"May umutot. ""Hindi ako iyon!""","Someone farted. ""That's not me!""","Naay ni-utot. ""Dili to ako!"""
Bumalik siya galing Tsina.,He came back from China.,Nibalik siya gikan Tsina.
Tatanungin kita isa pang muli.,I will ask you one more question.,Pangutanahon ta ka kaisa nalang.
Ang daming itlog sa kahon.,There are many eggs in the box.,Daghang itlog sa kahon.
Ngayon ay mas matanda at marunong na siya.,Now he is older and wiser.,Karon kay mas tigulang ug mas kabalo na siya.
Nahulog siya at nasaktan ang kanyang binti.,He fell and hurt his leg.,Nahog siya ug nasamaran iyang batiis.
Nagbabasa siya ng dyaryo kada umaga.,He reads the newspaper every morning.,Nagabasa siya og dyaryo kada buntag.
May nakita akong dalawang lalaking naghahalikan sa pasilyo.,I saw two men kissing in the hallway.,Naa koy nakit-an nga duha ka laki nga naghadok sa agi-anan.
Kailangan kong alagaan ang mga bata ngayong gabi.,I have to take care of the kids tonight.,Kinahanglan nako atindiron ang mga bata karong gabii.
Lahat ng mga kuwento ay interesante.,All stories are interesting.,Tanan og storya kay nindot.
Nahulog at namatay ang ibon.,The bird fell and died.,Nahog og namatay ang langgam.
Hindi kita marinig.,I can't hear you.,Di ta ka madunggan.
Muntik ko na makalimutan.,I almost forgot.,Hapit nako malimtan.
Pinapatawa mo talaga ako.,You really make me laugh.,Ginapakatawa gyud ko nimo.
Inistorbo namin siya.,We disturbed him.,Giistorbo namo siya.
Nagbabasa ang lahat.,Everyone reads.,Nagabasa ang tanan.
Gusto ko lamang matulog.,I just want to sleep.,Gusto ra nako matulog.
Hindi ko alam ang salitang iyan.,I don't know that word.,Wa ko kabalo ana nga pangsulti.
Sa atin lamang dalawa; nahulog ba ang loob mo para sa aking kapatid na babae?,Just the two of us; do you have a crush on my sister?,Sa atoa ra duha; nahog ba imong pagbati sa akong manghod nga baye?
Pero ang sansinukob ay walang hanggan.,But the universe is eternal.,Pero ang paghinigugmaay kay walay katapusan.
Nagtatrabaho siya sa gabi.,He works at night.,Nagatarbaho siya sa gabii.
Ipapaliwanag ko ang lahat mamaya.,I will explain everything later.,Iistorya na nako tanan unya.
Ikaw ang siyang dapat magdesisyon sa kung anong dapat gawin.,You are the one who should decide what to do.,Ikaw dapat magdesisyon sa kon unsa dapat buhaton.
Natutulog pa siya.,He is still sleeping.,Natog pa siya.
Wala akong apat na kapatid na babae.,I don't have four sisters.,Wala koy upat nga lumon nga baye.
Hindi ka dapat maging sobrang mapili sa pagkain.,You should not be too picky about food.,Di ka angay mahimong pilian sa pagkaon.
Ang kanyang anak na babae ay isang nars.,His daughter is a nurse.,Ang iyang anak nga baye kay usa ka nars.
Pinayuhan ako ng doktor na huwag kumain nang sobrang marami.,The doctor advised me not to eat too much.,Giingnan ko sa doktor nga dili mokaon og daghan kaayo.
Ano ang sasabihin mo para kumbinsihin siyang bumili ng isa?,What would you say to convince him to buy one?,Unsa ang imong iingon aron kombinsihon siya nga mopalit og isa?
Hindi ko sinadya!,I didn't mean to!,Wa nako tuyoa!
Hindi mo palaging naiintindihan.,You don't always understand.,Di nimo pirme masabtan.
"Ang tren na aking sinakyan ay umalis sa Kyoto nang alas seis, at dumating sa Tokyo nang alas nwebe.","The train I took left Kyoto at six o'clock, and arrived in Tokyo at nine o'clock.","Ang tren nga akong gisakyan kay nilakaw sa Kyoto og alas- sais, ug niabot og Tokyo og alas-nwebe."
Napagod akong magbasa.,I'm tired of reading.,Gikapoy ko og basa.
Kumakain ka sa silid-aralan?,Do you eat in the classroom?,Nagakaon ka sa eskwelahan?
May siyam na mga planeta ang araw.,The sun has nine planets.,Naay siyaw ka mga planeta ang adlaw.
Ito ay almusal.,It's breakfast.,Kani kay pamahaw.
Masasarap ang kanilang mga keyk.,Their cakes are delicious.,Lami ang ilang mga keyk.
Sa tingin mo may magandang panahon tayo bukas?,Do you think we will have good weather tomorrow?,Sa pagtuo ba nimo maayo ang panahon nato ugma?
Nagbibiro ka!,You're joking!,Nangatik ka!
Natatakpan ng putik ang aso mula ulo hanggang paa.,The dog was covered in mud from head to toe.,Natabunan sa lapok ang iro gikan ulo hangtod sa paa.
Ang batang babae iyon na mahaba ang buhok ay si Judy.,That girl with long hair is Judy.,Kato nga bata nga babaye nga tag-as og buhok kay si Judy.
Huwag mo ilagay iyan sa mesa ko.,Don't put that on my desk.,Ayaw na ibutang sa lamesa nako.
Natanggap ko ang regalo para sa aking kaarawan.,I received the present for my birthday.,Nadawat nako ang regalo para sa akong adlaw nga natawhan.
Masama ang pakiramdam ko kapag gumigising ako sa umaga.,I feel bad when I wake up in the morning.,Lain sa pamati nako pag bag-o kong mata sa buntag.
Bigyan mo ako ng isang dahon ng papel.,Give me a sheet of paper.,Tagae ko og usa ka dahon nga papel.
Bigyan mo ako ng kopya ng aklat na ito.,Give me a copy of this book.,Tagae ko og kopya ani nga libroha.
Hindi tumawag si Tom.,Tom didn't call.,Wala nitawag si Tom.
Binibigyan niya ang lahat na kanyang hinihingi.,He gives everything he asks for.,Ginatagaan niya ang tanan niya nga ginapangayo.
"Hindi ko binasa ang bagong nobelang ito, kahit ang kapatid kong babae ay hindi rin.","I haven't read this new novel, neither has my sister.","Wala nako gibasa ning bag-o nga nobela, bisan akong lumon nga babaye wala sad."
Ang sagot mo'y tama.,Your answer is correct.,Ang tubag nimo kay tama.
Imposibleng malaman anong mangyayari sa hinaharap.,It is impossible to know what will happen in the future.,Imposible nga mabal-an nimo ang mahitabo sa umaabot.
Takot ako sa kamatayan.,I am afraid of death.,Hadlok ko sa kamatayon.
Huwag mong gawin ang isang bagay na iyong ikasisi.,Don't do something you will regret.,Ayaw og buhata ang usa ka butang nga imong pagbasulan.
Siya si Mei. Nagluluto siya sa kusina.,She is Mei. He is cooking in the kitchen.,Siya si Mei. Nagaluto siya sa kusina.
Maraming kolonya sa Afrika ang Pransiya noon.,France had many colonies in Africa then.,Daghang kolonya sa Africa ang Pransiya sauna.
Ang lalaking iyon ay si Raul.,That man is Raul.,Kato nga laki kay si Raul.
Nawala ako sa kagubatan.,I got lost in the forest.,Nawala ko sa kalasangan.
Ang batang lalaki na may isang aklat sa kamay ay pinsan ko.,The boy with a book in his hand is my cousin.,Ang bata nga laki nga naay usa ka libro sa kamot kay katagsa nako.
Hinabol ng aso ang pusa.,The dog chased the cat.,Gigukod sa iro ang iring.
Pinatawad ka nila.,They forgive you.,Gipasaylo ka nila.
Hindi ako masaya sa ginawa ko.,I'm not happy with what I did.,Wa ko nalipay sa akong gibuhat.
Narinig mo ba ang balita?,did you hear the news,Nadunggan ba nimo ang balita?
Dumating sila sa hotel pagkatapos ng takipsilim.,They arrived at the hotel after dusk.,Niabot sila sa hotel pagkahuman sa kahaponan.
Puno ang tren.,The train is full.,Puno na ang tren.
Marumi ang plato.,The plate is dirty.,Hugaw ang plato.
Ang mga magulang ay ninenerbiyos nang kaunti.,Parents are a little nervous.,Ang mga guinikanan kay gikulbaan gamay.
Mataas na ang araw nang umalis ako sa kama.,The sun was high when I got out of bed.,Hapit na udto nga nibakod ko sa higdaanan.
Wala siyang mga kaibigan para payuhan siya.,He had no friends to advise him.,Wala siyay mga amigo para tagaan siya og adbays.
May maraming magagandang babae sa Shanghai kaysa sa Tokyo.,There are more beautiful women in Shanghai than in Tokyo.,Naay daghang gwapa nga mga babaye sa Shanghai kaysa sa Tokyo.
Ito ay Copacabana!,It's Copacabana!,Kani kay Copacabana!
Hindi ito matigas.,It's not tough.,Di ni gahi.
Ang ginagawa niya ay ilegal.,What he is doing is illegal.,Ang gibuhat niya kay ilegal.
Ano pang pwede ninyong gawin?,What else can you do?,Unsa pa inyong pwede nga buhaton?
Pwede ba kitang ihatid hanggang sa pintuan?,Can I walk you to the door?,Pwede ba ta ka ihatod hangtod sa pultahan?
