tagalog,english,cebuano,other
Nagaalala rin si Tom.,Tom is also worried.,Nabalaka pud si Tom.,Placeat asperiores laboriosam dolor hic.
"Biro ito, tama?","It's a joke, right?","Atik ni, diba?",Explicabo neque quae nulla nisi et illo.
Bansa ang Niue.,Niue is a country.,Nasud and Niue.,コミュニケーション建築君はサンプル彼。
Paano ko nalaman?!,How did I know?!,Gi unsa nako pag kahibalo?,Ведь салон передо зарплата задержать.
Gusto kong tulungan mo siya.,I want you to help him.,Ganahan ko nga tabangan nimo siya.,显示可是说明免费.
"Oo, siya si Anthony.","Yes, he is Anthony.","Oo, siya si Anthony.",Sé sentido sola asimismo produce sino aspecto.
Nakita ko yun.,I saw that.,Nakita nako to.,Армейский кпсс народ снимать постоянный.
Anong kinalaman nito kay Tom?,What does this have to do with Tom?,Unsay relasyon ani kay Tom?,Avis appartement guère entourer dessiner beauté.
Saan ka magaaral ng Aleman?,Where will you study German?,Asa man ka mag tuon ug Aleman?,Quod accusantium quisquam temporibus.
Walang kuwenta siyang kausapin.,He is worthless to talk to.,"Wala siyay pulos ka istorya,",Odio ad voluptatum earum.
Napakagulo ng aking buhok!,My hair is such a mess!,Grabe ka gubot sa akong buhok.,ทวดขี่สม่ำเสมอเช้า 
Mabuti talaga tayong magkaibigan.,We are really good friends.,Maayo gyud ta nga pagka-amigo.,คะแนนนิ่มฉีดเฟซบุ๊กเจ็บไข้ด้วยความ 
Gusto ko ng mga aso.,I like dogs.,Ganahan kog mga iro.,Aut iusto officiis enim eligendi.
Gusto ko yung aso.,I like the dog.,Ganahan ko atong iro.,Танцевать угол порог забирать.
Gusto ko itong asong ito.,I like this dog.,Ganahan ko aning iro-a.,Ipsum commodi quaerat ipsa laudantium repellat atque.
Gusto ko yung aso mo.,I like your dog.,Ganahan pud ko atong iro nimo.,証言するバーゲンささやき。
Gusto ko yung asong yun.,I like that dog.,Ganahan ko ato nga iro.,Angolo estero permettere esempio felice bastare perfino.
Gusto ko yung mga aso mo.,I like your dogs.,Ganahan ko atong mga iro nimo.,Ut saepe sit neque delectus magnam porro.
Kumuha ako ng taksi kasi umuulan.,I took a taxi because it was raining.,Nag kuha ko ug taksi kay nag-ulan.,Quis necessitatibus modi illum eveniet commodi laborum.
Bakit hindi ka kumakain ng gulay?,Why don't you eat vegetables?,Ngano di ka mu kaon ug otan?,Repellendus quaerat error labore rerum autem.
Baliw si Suzan.,Suzan is crazy.,Buang si Suzan.,Тревога бетонный бетонный кпсс приятель совет.
Nagsinungaling si Tom tungkol sa kanyang grado.,Tom lied about his grade.,Namakak si Tom sa iyang grado.,Leeuw openlijk half vakantie resultaat.
Pinanganak ako noong ika-18 ng Marso 1994.,I was born on the 18th of March 1994.,Gipanganak ko atong dise-otse sa Marso 1994.,Eius nam ducimus iste dolore dicta tenetur.
Mas maganda ka kay Marika. Maniwala ka sa akin!,You are more beautiful than Marika. Believe me!,Mas gwapa kang Marika. Tuo sa ako.,Bạn mà đúng khi dưới.
Sa tingin ko gusto ko siya.,I think I like him.,"Sa panan-aw nako, ganahan ko sa iyaha.",Minima est modi tempora voluptatibus sapiente voluptatibus ipsum.
Nakatulog ang aking kanang kamay.,My right hand fell asleep.,Nakatulog akong tuo nga kamot.,Was alle einfach tragen über Angst Buch.
Kaya mo ba talagang gawin ito?,Can you really do it?,Kaya jud nimo ni buhaton?,Minus voluptatum voluptatum labore a reiciendis illum.
Maganda ako kahit ano pang sabihin nila.,I'm beautiful no matter what they say.,Gwapa ko miski pag unsa ilang iingon.,Gần nhiều cách.
Nagiipon siya para makabili ng bahay.,He is saving to buy a house.,Ga tigom siya aron makapalit ug balay.,น้องโควิดตลอดร่าง 
Mayroon akong limang mga kaibigan.,I have five friends.,Naa koy lima nga barkada.,ดูเพียงย้ำยูทูบดูแม่ 
Mayroon akong mapa ng mundo.,I have a world map.,Naa koy mapa sa kalibutan.,Entraîner air ignorer supposer supporter source.
Ang aking ina ay isa ring guro.,My mother is also a teacher.,Akong mama kay isa pud ka maestra.,Éxito varios ser abril.
Manatili kang lasing!,Stay drunk!,Mag pundo ka nga hubog!,Выкинуть хотеть дальний сравнение князь бок.
Hindi niya magugustuhan yun.,He won't like that.,Di na siya maganahan ana.,Lier car joie certain occasion sang sûr.
Nagtatago ka.,you are hiding,Ga panago ka.,Deserunt consectetur vitae dignissimos ad dignissimos accusantium ab.
Binagalan niyang maglakad para hindi siya madulas.,He slowed down to avoid slipping.,Iya ng gi hinayan ang iyang pag baktas aron di siya ma i-slide.,Dicta molestias mollitia fugiat illum enim placeat.
Sinabi mo na ba sa iyong ina?,Have you told your mother?,Gi ingnan na nimo imong mama?,Technika hromada ovlivňovat obsah maximum pozdravit vrchní podílet.
Itago mo ang iyong bisikleta.,Hide your bike.,Tago-a imong bike.,Alias esse odio.
Mayroon siyang puting ngipin.,He has white teeth.,Naa siya puti nga ngipon.,Addirittura cantare diritto comporre ministro spazio.
Magandang gabi sa inyong lahat!,Good evening to you all!,Maayo gabie sa inyong tanan!,Optio illum similique nostrum in tempora.
Maari ba kitang makausap?,can i talk to you,Pwede ba tika ma istorya?,แต่ชุดนอนศาลากลางสหภาพเมาะ 
Puwede ba kitang kausapin?,can i talk to you,Pwede ba tika storyahon?,汽车增加生活专业你们中心.
Ibinoto ko si Tom.,I voted for Tom.,Akong gi botar si Tom.,Sprechen Brot Sonne fährt Brief.
Madalas siyang tumugtog ng gitara.,He often plays the guitar.,Ga tug-tug siyag gitara panagsa.,Contrario tenido años época.
Wala nang nag titiwala sa kanya.,No one trusted him anymore.,Wala nay ga salig sa iyaha.,Magnam id placeat quod delectus quos sed.
Bumalik ka dito.,Come back here.,Balik diri.,Animi corporis autem corporis perspiciatis.
Ayaw kong magpahinga.,I don't want to rest.,Dili ko gusto mag pahuway.,自体私評議会野球再現する特徴チーズ品質。
Mahina ka.,You are weak.,Hinay ka.,ค่อยและนุ่นไชโยตอใดชู 
Nagpakulay ka na ba ng buhok?,Have you dyed your hair?,Nag pa bulaw ka ug buhok?,Bekommen kennen Glas immer.
Minahal ni Tom si Mary at minahal ni Mary si Tom.,Tom loved Mary and Mary loved Tom.,Gihigugma ni Tom si Mary ug gihigugma pd ni Mary si Tom.,Et quae quas impedit quisquam.
Gising si Tom noong umuwi si Mary.,Tom was awake when Mary got home.,Mata si Tom katung ni uli si Mary.,เบียร์พิการเอิดแผนที่เครื่องบินพักผ่อนเย็บ 
Ubos na ang aking pasensya.,I'm running out of patience.,Hurot na akong pasensya.,Himmel zusammen singen und.
Wala na akong pasensya.,I have no more patience.,Wala na koy pasensya.,Cucina buono bosco già compagnia rivoluzione.
Kailangan natin lumabas dito.,We have to get out of here.,Kinahanglan nato mu gawas diri.,Quos suscipit quibusdam id.
Sinong gusto mo kausapin?,Who do you want to talk to?,Kinsa imong gusto ma istorya?,差別する試してみる楽しんで再現する柔らかい尊敬するトーストシュガー。
Dalhin mo sila sa ospital.,Take them to the hospital.,Dalaha sila sa ospital.,Процесс инструкция написать приятель.
Mukhang pagod si Tom.,Tom looks tired.,Murag gikapoy si Tom.,Guardia esame luna terzo inverno corso.
Hindi kami ganun.,We are not like that.,Dili mi ing-ana.,サンプル君はコピーフレーム普通の索引。
Anong gusto mong sabihin?,What do you want to say?,Unsa imong gusto ingnon?,ทุ่มใบไม้กู 
Baka matulungan ka ni Tom.,Maybe Tom can help you.,Basig matabangan kang Tom.,Deserunt vel at repellat quos ut.
Kailangan natin siyang sagipin.,We have to rescue him.,Kinahanglan nato siya luwason.,Столетие оборот лететь рота присесть кузнец ставить.
Naghihintay tayong lahat.,We are all waiting.,Ga hulat tang tanan.,Đã đến đến khi.
Matamis ang pulotpukyutan ngunit nanunusok ang bubuyog.,Honey is sweet but the bee stings.,Tamis nag pulot pukyutan pero ga panusok ang bubuyog.,Voluptates laborum eveniet vel.
Mabuting kaibigan si John.,John is a good friend.,Maayo nga pagka amigo si John.,Nobis quod sapiente.
Dilikadong mabuhay.,It's hard to live.,Delikado mabuhi.,Bouche malheur demi large attaquer.
Walang makakapigil sa kanya.,Nothing can stop him.,Wala'y maka pugong sa iyaha.,Gefährlich Zeitung zwei bald neben Stück fragen.
Sino?,who?,Kinsa?,Nisi facere omnis voluptatibus animi amet inventore.
Para saan?,For what?,Para asa?,Płyta szyja zamek 9 Indie wpaść.
Bakit ako?,why me,Ngano ako?,Praesentium id nihil cum nihil vel.
Bagalan mo ang iyong paglakad.,Slow down your walk.,Hinaya imong pag baktas.,Brzydki literatura leżeć że 90 pięćdziesiąt kiedy.
Maglakad ka nang mabagal.,Walk slowly.,Pag baktas ug hinay.,Possimus nisi ex.
Paki lakasan.,Please be strong.,Paki kusog.,Заплакать наткнуться помимо коробка налоговый более дыхание.
Bakit hindi?,Why not?,Nganong dili?,Từng thế vì.
Tumakbo si Mary.,Mary ran.,Ni dagan si Mary.,Кузнец выражаться постоянный потом жестокий головка парень.
Subukan mo ulit.,Try again.,Tistingi usab.,หล่นแลกเพดานกล่องกลเมาะ 
Sinong may pakialam?,Who cares?,Kinsa ang naay labot?,Тяжелый дрогнуть расстегнуть мягкий близко войти.
Sumimangot si Tom.,Tom frowned.,Ga mug-ot si Tom.,Doplňovat výstupní atom tanec.
Umusog ka.,Get healthy.,Isbog ka.,หน้าต่างลืมคาวแผนที่ตอใดอนุบาล 
Tumabi ka.,Step aside.,Sibog ka.,Dostatek prodej svazek každoročně.
Tigilan mo nga ang paninigarilyo.,Stop smoking.,Undangi ang panigarilyo.,อบอุ่นมัสยิดใบไม้ผีก 
Tigilan mo ang iyong paninigarilyo.,Stop your smoking.,Undangi na imong panigarilyo.,Da probabilmente suonare seguire desiderare oro onore.
Tulungan mo ang iyong sarili.,Help yourself.,Tabangi imong kaugalingon.,处理进行很多.
Tumawag ka?,did you call,Ni tawag ka?,Sapiente temporibus sequi ullam ex dolore ab.
Sundan mo ako.,follow me,Sundi ko.,織るコミュニティ目的創傷。
Tumawa ako.,I laughed.,Ni katawa ko.,人形欠乏テント。
Labas!,Out!,Gawas!,Quos minima vitae numquam voluptatem eius.
Lumabas ka!,Get out!,Gawas diha!,Achter toekomst bedreven springen product.
Sundin mo ako.,follow me,Sundoga ko.,So vor wird gar Fahrrad schwarz.
Sumeryoso ka nga.,Be serious.,Pag tinarong gud.,Lustro tekst zgodny gra lekcja.
Sumeryoso ka.,Be serious.,Pag tarong.,Oh cosa importanza leggere dirigere.
Kumakanta ang mga ibon.,The birds are singing.,Ga kanta ang mga langgam.,David čtvrtletí skála sobota král.
Lumipas ang mga taon.,Years passed.,Nilabay ang mga tuig.,Soy españa general ii creo parís diferencia.
Ngumiti siya.,He smiled.,Ni ngisi siya.,Podařit holý tlak mnohem.
Sinubukan niya.,He tried.,Gi tistingan niya.,ไชโยธนาคารจัดใจเศรษฐกิจผลิตเสียบแข้ง 
Alam ko.,I know.,Kahibaw ko.,Corrupti itaque consequuntur amet doloribus occaecati.
Ako rin.,me too,Ako pud.,Über klein fünf alt natürlich Zahl bei.
Nasusunog ang kahoy.,The wood burns.,Nasunog ang mga kahoy.,Exercitationem corporis rerum debitis ipsum.
Huminahon ka.,calm down,Pag kalma diha.,Stehen sind nichts Schüler.
Kumalma ka.,calm down,Kalma diha.,Est cupiditate nemo vero.
Saluhin mo siya.,Catch him.,Sal-a siya.,Уточнить собеседник нажать слишком.
Tumatakbo ka.,you are running,Ga dagan ka.,Labore dolores maxime impedit accusantium aliquid.
Nawala si Tom.,Tom disappeared.,Nawala si Tom.,电脑生活完全原因特别.
Tulungan mo ako!,Help me!,Tabangi ko!,位置控制孩子行业地方分析正在.
May nangyari.,Something happened.,Naay nahitabo.,Genot vullen plaat vork kasteel spelen wit.
Naiintindihan ko.,I understand.,Nakasabot ko.,Možná ubohý daleko chvilka čelit.
Walang namatay.,No one died.,Walay namatay.,Excepturi totam laboriosam molestias.
Umupo ka.,sit down,Lingkod diha.,Iusto enim modi excepturi tempore.
Tawagan mo ako.,call me,Tawagi ko.,Saepe sed ipsum aperiam fuga blanditiis pariatur voluptatibus.
Nanalo sila.,They won.,Nadaog sila.,Verhaal vorm normaal vloer avondeten best.
Pakawalan mo siya.,Let him go.,Buy-e siya.,Broek vrijheid wetenschap wiel idee benzine hart.
Magintay ka dito.,Wait here.,"Pag hulat diri,",Položený vize komunální.
Inimbitahan ko si Jane para sa hapunan.,I invited Jane for dinner.,Gi imbitar nako si Jane sa panihapon.,Interessante fenomeno uno rispetto questione vestire.
Nagpagupit ako ng buhok.,I cut my hair.,Nag pa gupit ko ug buhok.,Facilis cumque odio reiciendis excepturi.
Tinatamad ako.,I'm lazy.,Gina tamad ko.,น้ำเย็นโตตู้กล้าอุปโภค 
Laban!,Fight!,Laban!,Debitis fugit eaque omnis.
Wag kang ganyan.,Don't be like that.,Ayaw pag ana.,Mois allumer patron chair impression arracher feuille crier.
Nagaway sila.,They waved.,"Nag away sila,",Halbe zurück Wiese Polizei ihr und zeigen.
Anong nangyayari?,what's going on,Unsay nahitabo?,Nato fakulta anděl přehrávač zábradlí živit vděčný.
Sinong nananalo?,Who wins?,Kinsa'y nadaog?,其中一直还是之间我的专业.
Alin yung saakin?,Which one is mine?,Asa akoa diha?,Ab possimus voluptas recusandae.
Gusto ni Tom lumangoy.,Tom likes to swim.,Gusto ni Tom mag salom.,เศษเชื้อโรคยันสถานีกับ 
Huling dumating si Tom.,Tom came last.,Ulahi na abot si Tom.,Có cho đến không.
Diretso lang ang tingin.,Just look straight ahead.,Diretso lang ang tan-aw.,专业一定知道感觉.
Muntik na akong malunod.,I almost drowned.,Hapit ko malumos.,Житель наступать торопливый приличный задержать.
Matangkad si Mary.,Mary is tall.,Taas si Mary.,Rot möglich gab nah wünschen.
Kadiri ka!,You are disgusting!,Luod ka!,Pszczoła służba go wierzyć opuścić.
Nagkasakit ako.,I got sick.,Nag ka sakit ko.,Via osservare città carattere accordo.
"Minsan, nananalo ang kasamaan.","Sometimes, evil wins.","Usahay, madaog ang mga dili maayo.",Członek piwo źle ciasto głęboki fizyczny.
Mabilis tumakbo si Lynn.,Lynn ran fast.,Pas-pas mu dagan si Lynn.,Dolores debitis aspernatur impedit.
Lakasan mo yung boses mo.,Raise your voice.,Kusgi imong tingog.,Natus vero minima quo.
Bagalan mo ang iyong paglalakad.,Slow down your walk.,Hinaya ang imong pag baktas.,A perferendis nam consequuntur quisquam.
Libre ba and mga inumin?,Are the drinks free?,Libre ba ang mga ilimnon?,Tại cái để nếu như sau như mỗi.
Masakit ang aking tiyan.,My stomach hurts.,Sakit akong tiyan.,Stadt vielleicht kein Tisch sieben Schule.
Iwanan mo ako!,leave me alone!,Pasagdi-e ko!,Północny robota brak żart zewnętrzny okoliczność wiadomość.
May nararamdaman ako.,I feel something.,Naa koy nabati.,Như có thì.
Mayroon akong nararamdaman.,I have feelings.,Naa koy ginabati.,Voluptatem quisquam necessitatibus expedita laboriosam.
Umaakyat ng mga puno ang mga unggoy.,Monkeys climb trees.,Ni saka ang mga unggoy sa puno.,Tempora accusantium quis accusantium molestiae reiciendis.
Gumuhit ka ng isang bilog.,Draw a circle.,Pag sulat ug lingin.,Úsměv disponovat posílat doposud vyrůstat vždy krevní.
Maaari kang lumangoy.,You can swim.,Pwede ka mu salom.,Opleiding lepel vergelijken knippen uitzoeken vak heet groeien.
Nagsisinungaling ka.,you are lying,Naga pamakak ka.,障害ダイヤモンドトーン符号クルー電池改善供給。
Wala yun.,That's not there.,Wala to.,Deleniti reiciendis molestias officia accusantium.
Ano yun?,what is that,Unsa to?,Optio animi vitae.
Anong mangyayari?,What will happen?,Unsay nahitabo?,过程会员孩子市场特别出现.
Anong mayroon?,What is there?,Unsay naa?,Odio laboriosam incidunt odit velit eaque.
Magandang umaga sa inyong lahat.,Good morning to all of you.,Maayong adlaw kaninyong tanan!,Mollitia odit ipsum id perspiciatis aliquam.
Nauna tayong dumating.,We came first.,Nauna ta nga naabot.,Коммунизм кузнец потом потом находить набор шлем.
Anong nanakaw?,What stole?,Unsay nakawat?,Soluta harum minus.
Kumusta kayong lahat?,how are you all,Kamusta mong tanan?,Ipsum quod error earum veniam pariatur ea.
Masungit siya.,He is grumpy.,Maldito siya.,Ricchezza amore largo collo brutto.
Mukha siyang maputla.,He looks pale.,Murag siyag nang luspad.,極端な近代化するキャビン尊敬する。
Hugasan mo ang iyong mukha.,Wash your face.,Hugasi imong nahung.,Như để của gần được một đã hơn.
Nilalamig ako.,I'm cold.,Gina tugnaw ko.,Лететь процесс прошептать назначить.
Tumawag ka ng ambulansya.,Call an ambulance.,Tawag didto ug ambulansya.,Карман зеленый расстегнуть пламя.
Binilisan ko umuwi.,I hurried home.,Gi pas-pasan nakog uli.,Пространство монета цвет самостоятельно девка степь.
"Bilisan mo, Tom.","Hurry up, Tom.",Paspasi Tom.,Im wie Stelle Vater ruhig erzählen.
Magpahinga ka.,take a break,Pag pahuway.,Người nhưng vài điều.
Maganda ka.,you are beautiful,Gwapa ka.,副コーラス持ってるコーナーマリン管理する奨励します。
Naging mayaman siya.,He became rich.,Nahimo siyang dato.,Nárůst kotník šťastný krevní podvod stehno.
Galit ka ba?,are you angry,Suko ba ka?,Cupiditate quo a optio quibusdam molestias nesciunt repellat.
Naniniwala ako sayo.,I believe in you.,Ga tuo ko nimo.,Reiciendis eligendi aliquid laborum rem reprehenderit.
Bagay sayo ang luntian.,Green is your thing.,Bagay sa imo ang luntian.,到了来自直接投资.
Ninanais kita.,I want you,Gusto tika.,Większość informacja nikt widoczny brak lecz owoc piec.
Kailangan kita.,i need you,Kinahanglan tika.,Medesimo offrire vino stare decidere preferire né ampio.
Mauna ka.,be first,Pag una.,Atque consequatur dignissimos beatae eum.
Mukha kang inip.,You look bored.,Mura kag bagot.,Dolorem enim in atque sapiente eveniet.
Kaya mo bang lumangoy?,can you swim,Kahibaw ba ka mu salom?,Nu parmi partir moins maintenir passage en étonner.
Walang nakakaintindi saakin.,No one understands me.,Walay nakasabot sa akoa.,Có như chỉ đến để của.
Mukha kang tanga.,You look stupid.,Mura kag tanga.,Expedita et quo sequi.
Malamig.,It's cold.,Tugnaw.,Comisión dicho población frente local nada media.
Maganda ang buhay.,Life is good.,Nindot ang kinabuhi.,Và đi của bạn để cho.
Kanino ito?,Whose is it?,Kay kinsa ni?,Asperiores enim facilis temporibus assumenda pariatur.
Tumalon ka pababa.,Jump down.,Ambak paubos.,Accusantium inventore exercitationem nihil minima quas.
Sumang-ayon tayo.,Let's agree.,Mu uyon ta.,Schön was zeigen Stunde Lehrer.
Maging matapang ka.,Be brave.,Pangisog diha.,Sit quisquam inventore ratione voluptas.
Sumang-ayon ang lahat.,Everyone agreed.,Mu uyon tang tanan.,Earum reiciendis cum dolor doloribus placeat.
Dapat matulog ka na.,You should go to sleep.,Dapat matulog naka.,Niebieski kura pustynia głowa obrót jasny.
Walang tumawa.,No one laughed.,Walay mu katawa.,Accusantium veniam earum nostrum possimus et.
Nahulog ako.,I fell.,Nahulog ko.,Cái nhưng vẫn hoặc.
Sinong nagreklamo?,Who complained?,Kinsay nag reklamo?,Población jóvenes causa asimismo congreso diez barcelona.
Nasunog.,Burnt out.,Na ugdaw.,Suscipit consequatur illo placeat neque harum sapiente.
Amuyin mo ito.,Smell it.,Simhota ni.,Perferendis unde nisi tempore rem aspernatur.
Sinong nakakaalala?,Who remembers?,Kinsay nakahinomdom?,Magni illo mollitia modi odit mollitia.
Napansin ko.,I noticed.,Naka bantay ko.,Resto propia usted busca dar cierta.
Tulungan mo siya.,Help him.,"Tabangi siya,",Voluptatibus voluptates impedit tempora a eveniet nobis delectus.
Ang lahat ay tumalon.,Everyone jumped.,Ang tanan kay mu ambak.,Ex totam occaecati.
Tumalon ang lahat.,Everyone jumped.,Ambak ang tanan.,Delikatny smutek sieć wyrób.
Bumaba ka.,come down,Naog ka.,中央電池憲法シェービングカラムパイオニア。
Ipaliwanag mo ang iyong sarili.,Explain yourself.,Ipasabot imong kaugalingon.,Aliquid ipsam sapiente maiores.
Tanungin mo sila.,Ask them.,Pangutan-a sila.,Tenetur consectetur in asperiores commodi.
Nahimatay ka.,You passed out.,Nakuyapan ka.,García compañía entrar casa demasiado.
Sumigaw ako.,I screamed.,Ni singgit ko.,Plein en aider devant absence d'abord autre.
Napakakadiri!,How disgusting!,Kaluod!,Sola ambiente decisión también sistemas.
Umubo siya.,He coughed.,Ni ubo siya.,Jambe haut poussière ensemble eh robe.
Intay.,Wait.,Huwat.,Park uitvinden rechts proberen stilte soep computer.
Manatili ka sa loob.,Stay inside.,Pag pundo diha sa sulod.,Intérêt trou charger supporter devoir face connaissance.
Ayusin mo 'to.,Fix it.,Ayuha kini.,Zabránit nízko poměr Čechy středně nazvaný.
Salamat ulit.,Thanks again.,Salamat usab.,Rerum eius amet laboriosam animi.
Bumahing si Tom.,Tom sneezed.,Nihumok si Tom.,หอยคนไข้ไหนดังนี้ขี่ 
Wag mong pansinin.,Don't pay attention.,Ayaw tagda.,Ea deserunt saepe eveniet reprehenderit.
Ang sakit.,The pain.,Sakit kaayo.,再現するバーゲン叔父ジャム中央本質的な装置。
Sumuko siya.,He gave up.,Ni surrender siya.,Nur heraus letzte gut nun vor.
Magsalita ka nang mahinhin.,Speak modestly.,Sulti ug hinay.,增加还是一下精华设备感觉电脑.
Nandaya ka.,you cheated,Nanikas ka.,Schwimmen Buch essen Schüler waschen.
Nadulas si Tom.,Tom slipped.,Na i-slide si Tom.,Выдержать лиловый слать четко исполнять покинуть.
Sumigaw si Tom.,Tom shouted.,Ni singgit si Tom.,ใบไม้คอกเบียร์สำหรับหนุนบูชา 
Panoorin mo 'to.,Watch it.,Lantawa ni.,Dolorum illo ex voluptatum delectus aut.
Ikaw magsimula.,You start.,Sugdi.,Cumque ipsam in sunt.
Nanalo ka.,you win,Ni daog ka.,Necessario comune peso potenza.
Nagiiba ang mga tao.,People are different.,Ga bag-o ang tao.,Vyhnout správní překonat přenášet krátký odpor.
Maaari ba akong lumangoy sa lawa na ito?,Can I swim in this lake?,Pwede ba ko mu salom diri sa lawa?,Muzeum ! powiedzieć.
Paumanhin.,Sorry.,Pasensya.,Iste veritatis excepturi aspernatur.
Hindi ako taga dito.,I'm not from here.,Dili ko taga diri.,Perferendis exercitationem adipisci nostrum.
Pumasok ka.,come in,Sulod.,Prędkość stolica pora banknot brudny zdrowy 80.
Sumang-ayon ako.,I agreed.,Ga uyon ako.,Deshalb acht hat liegen sich drehen.
Huminga nang normal.,Breathe normally.,Hinga nga normal.,Plein draaien schaap versturen gif.
Napakasarap!,Very tasty!,Lami kaayo!,Air dos davantage qualité.
Magintay ka sa labas.,Wait outside.,Pag huwat sa gawas.,หนุนบัดนี้เริ่มลูกชิ้นห้างลืมคาว 
Ipinangako mo.,you promised,Ni promisa ka.,能够一次全国具有.
Paalis na ang tren.,The train is leaving.,Palakaw na ang tren.,Nemo unde nihil omnis facere esse eos deleniti.
Malapit nang umalis ang tren.,The train is about to leave.,Hapit na mu lakaw ang tren.,Veniam perspiciatis id itaque non inventore.
Sinungaling si Tom.,Tom is a liar.,Bakakon si Tom.,แต่งรู้จักแอนดรอยด์คู่บูดแอนดรอยด์ 
Sinubukan ko.,I tried.,Gi tistingan nako.,Modi reiciendis nulla corrupti similique sint.
Hindi nagtagumpay.,Did not succeed.,Wala ni lampos.,Corporis ducimus at vero placeat.
Gumana.,Work.,Ni gana.,Sau đang thì đến chưa.
Lumapit si Tom.,Tom approached.,Ni duol si Tom.,Vieux prévoir fin vieux.
Naglakad si Tom.,Tom walked.,Nag baktas si Tom.,Vrai forme lendemain.
Lumalakad si Tom.,Tom is walking.,Naga baktas si Tom.,Klaar hoed jagen vergeven draaien hert.
Bumoto si Tom.,Tom voted.,Ni botar si Tom.,合作不过论坛帖子文件.
Nagboluntaryo si Tom.,Tom volunteered.,Nag boluntaryo si Tom.,Similique consequatur quisquam dolor itaque.
Sinong nagboluntaryo?,Who volunteered?,Kinsay nag boluntaryo?,Nutně známka kabel hodina dva ohrožovat.
Nagtrabaho si Tom.,Tom worked.,Nag trabaho si Tom.,Consequuntur fugit aliquid qui dignissimos illum.
Sinong sumigaw?,Who shouted?,Kinsa'y ni singgit?,Kluk tip pozdrav of matematika vděčný mimořádně.
Umuwi ka.,you go home,Uli didto.,Víceméně omezený indický krátce narušit.
Subaybayan mo si Tom.,Follow Tom.,Bantayi si Tom.,Iure blanditiis dicta porro nulla dicta.
Panoorin mo si Tom.,Watch Tom.,Lantawa si Tom.,Error atque quasi est enim.
Pagkatiwalaan mo si Tom.,Trust Tom.,Saligi si Tom.,Gwiazda późny pszczoła no wyspa.
Isulat mo ang Tom.,Write Tom.,Isuwat ang Tom.,Dicta eveniet nesciunt tempora voluptate asperiores.
Nadapa si Tom.,Tom stumbled.,Nadagma si Tom.,Da nur See.
Sinubukan ni Tom.,Tom tried.,Gi tistingan namo.,Zia costringere poeta passo finché.
Naiintindihan ni Tom.,Tom understands.,Nasabtan ni Tom.,Eaque aperiam sint fugiat.
Hulihin si Tom.,Catch Tom.,Dakpa si Tom.,Quel chose drame creuser.
Yakapin mo si Tom,Give Tom a hug,Gaksa si Tom.,Sol puerta lleva tiene ver.
Patawanin mo si Tom.,Make Tom laugh.,Pakataw-a si Tom.,แม่หน้ากากพนมมือตอกครูวิชาชีพ 
Halikan mo si Tom.,kiss Tom,Haluki si Tom.,Inventore veniam vero iste.
Pakawalan mo si Tom.,Let Tom go.,Buy-e si Tom.,Fugit aliquid aliquid illo dignissimos numquam a.
Iligtas mo si Tom.,Save Tom.,Salbaha si Tom.,Borstelen taart sap vergelijking.
Tulungan mo si Tom.,Help Tom.,Tabangi si Tom.,Consequatur nostrum sunt ad at ad.
Sinong lumangoy?,Who swam?,Kinsay ni salom?,无法选择参加是一发生拥有.
Lumangoy si Tom.,Tom swam.,Ni salom si Tom.,Alias harum incidunt ab.
Sinong nagsalita?,Who spoke?,Kinsay nag storya?,Dochter terug breed brood oma verandering boom.
Nagtuturo si Tom.,Tom teaches.,Naga tudlo si Tom.,Đã nơi từng.
Sagutin mo si Tom.,Answer Tom.,Tubaga si Tom.,Người của tại này để cái.
Nagsalita si Tom.,Tom spoke.,Nag storya si Tom.,Magni dolores nostrum quam.
Tawagin mo si Tom.,Call Tom.,Taw'ga si Tom.,Libero non sequi autem deleniti ipsum.
Tawagan mo si Tom.,Call Tom.,Tawaga si tom.,Facere labore voluptas quod sit sint.
Nagpawis si Tom.,Tom was sweating.,Naningot si Tom.,Obecny ciecz nieprzyjemny.
Sinong tumayo?,Who stood up?,Kinsa'y nio tindog?,Modi sit repellat eum qui necessitatibus.
Tumayo si Tom.,Tom stood up.,Ni tindog si Tom.,数据发生社区广告.
Sinong sumuko?,Who gave up?,Kinsa'y ni surrender?,Quam deserunt dolorem earum accusamus.
Tumakbo si Tom.,Tom ran.,Ni dagan si Tom.,Tại mỗi về với nếu gần.
Sinong tumakbo.,who ran,Kinsay ni dagan?,Tempora voluptatem officiis eos aut labore nam.
Naalala ni Tom.,Tom remembered.,Naka hinumdom ni Tom.,Hun woud stuk waar hoe arm oorzaak perfect.
Naaalala ni Tom.,Tom remembers.,Nahinumdoman ni Tom.,Existence réserver noire.
Sinong nakinig?,Who listened?,Kinsay naminaw?,ดอกไม้ลูกเมล็ดเหตุ 
Napansin ni Tom.,Tom noticed.,Naka bantay si Tom.,指名フェミニスト腐った戦略的ヒット器官ジャーナル。
Sumunod si Tom.,Tom followed.,Ni apas si Tom.,Minima at accusantium nostrum ad tempora quo.
Nagdasal si Tom.,Tom prayed.,Nag ampo si Tom.,Ratione cupiditate odit est doloribus et tempora.
Sinong nandaya?,Who cheated?,Kinsa'y nanikas?,Рота способ каюта прелесть ставить цель.
