tagalog,english,cebuano
Tumigil ang musika nang saglit.,The music stopped for a moment.,Ning hunong kadali ang musika.
Mabubuksan ko ba ang kahon?,Can I open the box?,Maabrihan kaya nako ang kahon?
Ilagay mo ang silya sa harap ng eskritoryo.,Place the chair in front of the desk.,Ibutang ang bangko atubangan sa eskritoryo.
Ang tao'y mga egoista.,People are egoists.,Egoista ang katawhan.
Nangaso ng elepante roon.,Hunted an elephant there.,Nanguha ug elepante didtoa.
Sa nayon siya pinanganak.,He was born in the village.,Gi panganak siya sa baryo.
Matamis itong keyk.,This cake is sweet.,Tam-is ning keyk.
"Totoong bata pa siya, pero talagang maaasahan.","He's really young, but he's really reliable.",Tinuod nga bata pa siya pero masaligan.
Umupo siya sa tabi ng ilog.,He sat by the river.,Ning lingkod siya daplin sa sapa.
"Sa Olanda, pinakaantigong siyudad ang Nijmegen.","In Holland, Nijmegen is the oldest city.",Pinakakaraan nga siyudad ang Nijmengen sa Olanda.
Matalinong tao ang tingin niya sa sarili.,He thinks of himself as a smart person.,Maalam nga tao ang iyahang tan-aw sa iyang sarili.
"Magaling na alila, masamang pinuno, at teribleng relihiyon ang mga pamilihan.","Markets are good servants, bad leaders, and terrible religions.","Maayo nga alila, dautang pinuno, ug dautang relihiyon ang mga palitanan."
Alam kong bisi siya.,I know he's good.,Kabalo ko nga wala siya'y oras sa ubang butang.
Sanay siya sa mga ordenador.,He is good with computers.,Anad siya sa mga ordenador.
Sanay siya sa mga panuos.,He's used to tricks.,Anad siya sa mga panuos.
Sanay siya sa mga komputadora.,He is good with computers.,Anad siya sa mga kompyutadora
Sanay siya sa mga kompyuter.,He is good with computers.,Anad siya sa mga kompyuter.
Tinatago ang ulo sa buhangin nang parang ostrich.,Burying its head in the sand like an ostrich.,Ginatago niya iyang ulo sa buhangin nga mura ug ostrich.
Ang sabi ng libro ay ang mga unang tulay ay noong pang panahong Neolitiko.,The book says that the first bridges were in the Neolithic period.,Giingon sa libro nga ang mga unang tulay kay kadto pang sa panahong Neolitiko.
"Dapat pagsamahin ang tatlong bagay para umapoy: ang masusunog, oksiheno, at init.","Three things must combine to ignite: combustibles, oxygen, and heat.","Kinahanglan nga i-uban ning tulo ka butang para makahimo ug kalayo: ang sunugon, hangin, ug init."
"Tumakbo, kasama; ang lumang mundo ay nasa likod mo na!","Run, along; the old world is behind you!","Pagdagan, kauban; ang daang kalibutan naa na sa imuhang likod!"
Halos imposibleng gawin 'yan.,It's almost impossible to do that.,Halos imposible nga mahimo na.
Ang kaibigang nangangailangan ay kaibigan pa rin.,A friend in need is still a friend.,Ang higala na nanginahanglan kay hihala gihapon.
Talagang nagsisisi nang bawat segundo 1900 kuwadradong metro ng lupa ay nagiging desyerto.,Really sorry that every second 1900 square meters of land becomes deserted.,Nagbasol gyud sila matag segundo kay ang 1900 metro kwadrado nga yuta nahimong disyerto.
Iwasan ang damo.,Avoid the grass.,Likayi ang sagbot.
Medyong magpahinga tayo sa ilalim ng puno.,Let's take a little rest under the tree.,Magpahulay kita sa ilalom sa puno.
Sinalin niya nang bawat-bawat na salita.,He translated word by word.,Gi kopya niya sa laing lenggawahe ang kada pulong.
Pakiulit ba niyan?,Can you say that again?,Palihog ko ug usab ana?
Bilhin mo; talagang mura.,Buy it; really cheap.,Palita ni; barato ra.
"Parehong ideya, sabi ng kapitbahay.","Same idea, said the neighbor.","Pareha ug ideya, ingon sa silingan."
Dahan-dahan po.,Take it easy.,Hinay-hinay lang.
Nasaan ang may botika?,Where is the pharmacy?,Asang dapita ang naay botika?
Nasaan ang may parmasya?,Where is the pharmacy?,Asang dapita ang naay parmasiya?
May ilang barko sa lawa.,There are some ships on the lake.,Ubay-ubay pud ang barko sa linaw.
"Sa Sabado, bibisita siya sa kanyang lola.","On Saturday, he will visit his grandmother.",Mobisita siya sa iyahang lola sa Sabado.
Hindi ko makakalimutang nakita kita.,I will never forget seeing you.,Dili nako makalimtang nakit-an tika.
Malimit siyang tumawa sa kanyang sariling biro.,He often laughs at his own jokes.,Makatawa siya sa iyang sariling komedya.
Nagkamali kong nakuha ang kanyang payong.,I got his umbrella by mistake.,Namali ko ug kuha sa iyahang payong.
Sa hardin may tumubong puno ng tseri.,A cherry tree grew in the garden.,Naay nitubo nga punoan sa tseri sa tanuman.
Oras ang pinakamagaling na doktor.,Time is the best doctor.,Panahon ang pinaka hawod nga doktor.
Hindi ninyo maintindihan ang sinabi niya.,You don't understand what he said.,Dili ninyo masabtan ang iyang gi istorya.
Talagang ayaw nila sa isa't isa.,They really don't like each other.,Tinuod nga dili gyud sila ganahan sa usa'g-usa.
Ang tanong ay kung magagawa niya o hindi.,The question is whether he can or not.,Ang pangutana kay kung mahimo kaya niya o dili.
Kumuha kayo ng itlog sa ref.,Take an egg from the fridge.,Pagkuha mo ug itlog sa ref.
Hindi aming kotse; kanila.,Not our car; them.,Dili na amoang sakyanan; ilaha.
"Sa nakalipas na taon, inakyat namin ang bundok ng Fuji.","Last year, we climbed Mount Fuji.","Kadtong niaging panahon, gi katkat namo ang bundok Fuji."
Ang ganda niya!,She is beautiful!,Kagwapa niya oy!
Naghugas sila ng kamay.,They washed their hands.,Nanglimpyo sila ug kamot.
Redi na kayo?,Are you ready?,Andam na ba mo?
Nagkopyahan ang mga sumasayaw.,The dancers copied.,Nagsundoganay ang mga nanayaw.
Mananaginip lamang siya.,He can only dream.,Mag-damgo ra siya.
"Komplikado ka, sabi ng kapitbahay sa akin.","You are complicated, the neighbor told me.","Lisod daw kaayo ka sabton, ingon sa atong silingan."
Gusto ko ng mansanas.,I want an apple.,Ganahan ko ug mansanas.
Parang nainsulto ako nang siya'y tumahimik.,I felt insulted when he kept quiet.,Murag na insulto ko tung ning hilom siya.
Ang masa ang talagang manggagawa ng Istorya.,The masses are really the workers of History.,Ang katawhan gyud ang mambuhatay ug istorya.
Mas magaling ang inyong bisikleta kaysa sa akin.,Your bike is better than mine.,Mas hawod ang inyong bisekleta kaysa sa akoa.
Ayaw ni Tom magtrabaho bukas.,Tom doesn't want to work tomorrow.,Dili ganahan si Tom motarbaho ugma.
Hindi importante kung paparini siya o hindi.,It doesn't matter if he's going to show up or not.,Dili importante kung moanhi ba siya o dili.
Ang sabi ng lahat ay babainin siya.,Everyone said he was going to be fired.,Ang giingon sa tanan kay ilubong siya.
Napakinig kong may sakit siya.,I heard that he was sick.,Nadunggan nako nga naa siya'y sakit.
Gusto mong maging mayaman?,Do you want to be rich?,Ganahan ba ka modato?
Talagang maginaw sa Harbin.,It's really cold in Harbin.,Tinuod nga tugnaw gyud sa Harbin.
"Magmabilis ka, o mamimis mo ang tren.","Hurry up, or you'll miss the train.",Magdali ka o mabilin ka sa tren.
Tanong ang sumunod sa tanong.,Question after question.,Pangutana ang misunod sa pangutana.
Nangungulekta ang mga indihena ng tubig ng ulan para inumin.,Indians collect rainwater for drinking.,Nagapangolekta ug tubig ulan ang mga indihena para inumon.
Luminaw ang mga pulang bulaklak sa mga luntian.,The red flowers brightened the greens.,Naklaro ang mga pula nga bulak sa mga sagbot.
Ilan kayo?,how many are you,Pila mo kabuok?
Tatlo kami.,We are three.,Tulo mi.
Ang puso ko'y hindi nasa trabaho.,My heart is not in the work.,Ang akong kasing-kasing kay wala sa tarbaho.
Nasusunog ang bahay namin at tumitingin kami sa ibang direksiyon.,Our house is on fire and we are looking in another direction.,Ginakaon sa kalayo ang amoang balay ug sa lahi mi nga direksyon naga lantaw.
Huwag mo siyang asahan.,Don't expect him.,Ayaw na siya saligi.
Huli na; oras nang matulog.,It's too late; time to sleep,Ulahi na; oras na para matulog.
Hindi gusto ni Tom ang mga dalagang puno ng meyk-ap.,Tom doesn't like girls full of make-up.,Dili ganahan si Tom ug mga dalagang puno ug meyk-ap.
Sinong demonyo ka ba?,Who the devil are you?,Kinsang demonyoha man ka?
Nakakabulag ang pagmamahal.,Love is blind.,Makabuta ang gugma.
Naglakad kami sa tabi ng ilog.,We walked along the river.,Nag lakaw mi daplin sa sapa.
May pambihirang pabango ang itong mga bulaklak.,These flowers have an extraordinary fragrance.,Naay lahi nga humot ang mga buwak.
Pinakalalim na lawa ito sa Hapon.,It is the deepest lake in Japan.,Lalom ni nga sapa kung hapon.
Nagalit ang mga tagahilaga.,The northerners were angry.,Nasuko ang mga taga hilaga.
A! Mukhang masarap.,Ah! It looks delicious.,A! Murag lami ni ah.
Napatulog siya sa simula ng pelikula.,He fell asleep at the beginning of the movie.,Nakatulog siya sugod pa lang sa salida.
Ipinagpitas niya siya ng mga bulaklak.,He picked flowers for her.,Gikuhaan niya siya ug mga buwak.
Gusto niyang maging sikologo para sa mga superstar.,He wants to be a psychologist for superstars.,Gusto niya mahimong sikologo para sa mga superstar.
Tinanggap niya ang ideya ko.,He accepted my idea.,Gidawat niya akoang mga ideya.
Saan ka nagbakasyon?,Where did you go on vacation?,Asa ka nagbakasyon?
Saan ka nakatira?,where do you live,Asa ka nagpuyo?
Masyado siyang bata para pumuntang magsarili.,He is too young to go on his own.,Bata pa kaayo siya para mag inusara.
Pista bukas.,Feast tomorrow.,Piyesta ugma.
Buhay pa ba ang isda?,Is the fish still alive?,Buhi pa ba ang isda?
Tinuro ng tsuper kung aling bus ang dapat naming sakyan.,The driver indicated which bus we should take.,Gitudlo sa tsuper kung asa na bus ang dapat namong sakyan.
Pranses siya. Nahulaan ko sa kanyang aksento.,he is french I guessed from his accent.,"Pranses siya, natag naan nako pina agi sa iyahang pa istorya."
Tatanungin namin ang mga aliyenihena at magdidisisyon.,We will ask the aliens and decide.,Pangutan-on namo ang mga aliyenihena ug magdesisyon.
Makikita natin ang maraming bituin sa gabi.,We can see many stars at night.,Malantawan nato ang daghan nga mga bituon sa gabie.
Siya'y naging mas luku-luko!,He became more cunning!,Nahimo siyang mas buang-buang!
Kailan tayo puwedeng magkita?aaa,When can we meet?,Kanusa ta pwede magkita?
Paano ko gagawin nang wala ka?,How can I do without you?,Unsaon nako paghimo kung wala ka?
Bakit wala ka sa direktoryo ng telepono?,Why are you not in the phone directory?,Nganong wala ka sa direktoryo sa telepono?
May tumatawag ng tulong.,Someone is calling for help.,Naay nanginahanglan ug tabang.
"Ang ""Metapisikang Meditasyon"" ay isang obra ni Descartes.","""Metaphysical Meditation"" is a work of Descartes.","Ang ""Metapisikang Meditasyon"" kay usa ka obra ni Descartes."
Hindi ko sinadya.,I didn't mean to.,Wala nako tuyua.
Binagay niya sa akin itong libro.,He adapted this book to me.,Gihatag niya sa akoa ning libro.
Ang abokado'y masustansiya.,Avocado is nutritious.,Masustansiya ang abokado.
Kawakasang beses ko nakita siya sa inyo.,The last time I saw him was with you.,Ikadaghan na nako siya nakit-an sa inyuha.
Ang buko'y may masustansiyang katas sa loob.,The bone has a nutritious juice inside.,Ang lubi kay naay masustansiyang sabaw.
Nakita ko ang katatlohang tseri.,I saw the third cherry.,Nakit-an nako ang ikatulo nga tseri.
Bakit ganyan kalaki ang bibig mo?,Why is your mouth so big?,Nganong ingon ana kadako ang imuhang baba?
Isang wika'y palaging hindi sapat.,One language is always not enough.,Ang usa ka wika kay permi dili sakto.
Gaano nagtagal ang sibilisasyon ng Maya?,How long did the Maya civilization last?,Unsa kadugay bago nahuman ang sibilisasyon ng Maya?
Gusto ko ng matamis.,I want something sweet.,Ganahan ko ug tam-is.
Ang mga 'O' mo ay parang 'A'.,Your 'O's are like 'A's'.,Ang imuhang mga 'O' kay murag 'A'.
Alam ko ang pangalan mo.,I know your name.,Kabalo ko sa imuhang pangalan.
May libro ako tungkol sa pangingisda.,I have a book about fishing.,Aduna ko'y libro mahitungod sa pangisda.
Gusto ko ang mga larawan ni Gauguin.,I like Gauguin's pictures.,Ganahan ko sa mga hulagway ni Gauguin.
Patay na ang reyna ng mga bruha.,The queen of the witches is dead.,Mipanaw na ang rayna sa mga bruha.
Ang tao'y sosyal na hayop.,Man is a social animal.,Pina sosyal na hayop ang tao.
Huwag kang matakot.,Don't be afraid.,Ayaw ug kahadlok.
Hindi siya makabilang.,He couldn't count.,Dili siya maka-ihap.
May mga bulaklak na kinakain ng insekto.,Some flowers are eaten by insects.,Adunay mga buwak nga hinakaon sa insekto.
Mas gusto niya ang suman kaysa sa tamales.,He prefers suman to tamales.,Mas uyon siya sa suman kaysa sa tamales.
Sa desyerto'y may nakitang mga tira ng eroplano.,In the desert there were found remnants of the plane.,Naay nakit-an nga mga parte sa eroplano sa disyerto.
Huwag mo akong hawakan ng iyong kamay na masabon.,Don't touch me with your soapy hand.,Ayaw ko gunit gamit imuhang mga kamot nga danlog.
Ideya ko iyan.,That's my idea.,Ideya nako na.
Nasa hardin sila.,They are in the garden.,Naa sila sa tamnanan.
"Ito, kaunting tubig.","This, a little water.","Kani, gamayng tubig."
Nasa sala ang mga Morales.,The Morales are in the living room.,Naa sa sala ang mga Morales.
Malalim itong lawa.,It is a deep lake.,Lalom ni nga lawa.
Marami ang mga mutasyong henetika.,There are many genetic mutations.,Daghan ang mutasyon nga henetika.
Malaking hayop ang elepante.,The elephant is a big animal.,Dako nga hayop ang elepante.
Magkunwari tayong alyenihena.,Let's pretend to be an alien.,Pagpakaaron-ingnon ta nga alyenihena.
Nakita namin ang isang pugad ng kolibri sa balkon.,We saw a hummingbird nest on the balcony.,Nakit-an namo ang usa ka salag nga kolibri sa balkon.
Sundan ang mga tala.,Follow the notes.,Sunda ang mga bituon.
Hinuli ng mga taganayon ang mga ibon.,The villagers caught the birds.,Gidakop sa mga taga baryo ang langgam.
Medyo salbahe siya.,He's a little wild.,Salbahison siya.
Hindi importante ang sinabi niya.,What he said is not important.,Sili importante ang iyahang gisulte.
Ang hobi ko'y makinig sa musika.,My hobby is listening to music.,Kalingawan nako ang maminaw sa musika.
Halos pitong bilyon na ang tao sa mundo.,There are almost seven billion people in the world.,Halos pito ka bilyon na ang tao sa kalibutan.
Sabihin mo sa akin kung bakit ka ganyan kalungkot.,Tell me why you are so sad.,Sultihi ko kung nganong ingon ana ka ka-mug-ot.
Personal na bagay.,Personal matter.,Personal na butang.
"Bukas, papunta ako sa Paris.","Tomorrow, I'm going to Paris.",Moadto ko sa Paris ugma.
Magaling mabuhay sa itong siyudad.,It's good to live in this city.,Maayo mabuhi sa niining siyudara.
Baka tama ka.,You might be right.,Basin ug sakto ka.
Pinagpala ang mga malinis ang puso.,Blessed are the pure in heart.,Bulahan ang mga limpyo ug kasing-kasing.
Malapit bang lakarin?,Is it within walking distance?,Duol ra ba baktason?
Karaniwang doon ako nag-aalmusal.,I usually have breakfast there.,Didto ko nagapamahaw kasagaran.
Ako ang pinakatangkad sa klase.,I am the tallest in the class.,Ako ang pinakataas sa klase.
Nagtutubo ng kamatis sa hardin ang tiya ko.,My aunt grows tomatoes in the garden.,Nagapatubo ug kamatis sa tamnanan ang akoang tiya.
"Pumasok ka, sabi ng kapatid niya, ""At umupo ka sa tabi ng apoy.""","Come in, said his brother, ""And sit by the fire.""","Sulod, ingon sa sa iyahang igsuon, ""Ug lingkod dapit sa sa kalayo."""
Hindi ako ang ginagawa ko; ako ang magagawa ko.,I am not what I do; I can do it.,Dili ako ang ginabuhat; ako ang nagabuhat.
Biglang tumahimik dahil sa kahiyaan.,Suddenly silent because of shame.,Nikalit lang ug kahilom tungod sa kaulaw.
May peras sa kahon.,There is a pear in the box.,Naay peras sa kahon.
Gusto kong maglakad sa mga bundok.,I like to walk in the mountains.,Ganahan ko maglakaw-lakaw sa bundok.
Hindi makatulog si Tom nang walang unan.,Tom couldn't sleep without a pillow.,Dili makatulog si Tom kung walay unlan.
"Halo-halo ang gusto yatang kainin, sabi niya.",He said he wanted to eat mixed food.,"Sagol-sagol siguro ang iyahang ganahan kaonon, ingon niya."
Mabilis na umiinit ang maliit na palayok.,The small pot heats up quickly.,Dali ra nga niinit ang gamay na kaang.
Iniwanan namin ang barko.,We abandoned the ship.,Gibilin mi sa barko.
Anong gusto mong gawin; gustong umuwi na?,What do you want to do; want to go home?,Unsay ganahan nimo himuon; ganahan ka na mo-uli na?
Anong klaseng kape ang gusto mo?,What kind of coffee do you like?,Unaang klase sa kape imuhang ganahan?
Ang Pranses ay nagdebelop sa Latin.,French developed into Latin.,Naugmad sa Pranses ang Latin.
"Sa taglagas, naninilaw ang mga dahon.","In autumn, the leaves turn yellow.","Sa ting-lagas, mahimong dalag ang mga dahon."
Maging mas makunat ka.,Be more flexible.,Dapat mahimo kang mas mainaton.
Ang bawat indibidwal ay iba.,Every individual is different.,Ang isig ka tawo kay lahi.
Takot siyang magkamali.,He is afraid of making mistakes.,Mahadlok siya nga masayop.
Talagang takot siya sa mga ahas.,He is really afraid of snakes.,Tinuod nga mahadlok siya sa mga bitin.
Kaunti ang impormasyon nila sa heograpiya.,They know little about geography.,Gamay lang ang ilahang mga impormasyon sa heograpiya.
Gusto kong umalis ka.,I want you to leave.,Uyon ko nga mohawa ka.
May ilang mina ng anthracite sa pook na ito.,There are several anthracite mines in this area.,Naay mga mina sa anthracite niining lugara.
Magulo ang kuwarto ng mga bata.,The children's room is a mess.,Gubot ang kwarto sa mya bata.
Walang armonya iyan.,There is no harmony.,Wala nay armonya.
Ang ibig sabihin ng 'Tatoeba' sa Hapon ay 'halimbawa'.,'Tatoeba' means 'example' in Japanese.,Ang buot pasabot sa 'Tatoeba' sa Hapon kay 'halimbawa'.
Kailan nagsimula ang kabuhayan?,When did the economy begin?,Kanus-a nagsugod ang ilahang tarbaho?
Hindi ko alam kung saan pumunta.,I don't know where to go.,Wala ko kabalo kung asa ni-adto.
Sa mga mainit na bansa lumalaki ang mga bulaklak na ito.,In hot countries these flowers grow.,Nagatubo ning mga buwaka sa mga init na bansa.
Malayo pa.,It's still far.,Layo pa.
Gusto mo ng pelikula?,do you want a movie?,Ganahan ka motan-aw ug salida?
Hindi masarap ang prutas na ito.,This fruit is not tasty.,Dili lami ning prutasa.
Hindi ako marunong magluto.,I don't know how to cook.,Dili ko kabalo mag-luto.
Tinotolereyt niya ang relihiyon ng iba.,He tolerates the religion of others.,Ginatugotan niya ang relihiyon sa uban.
Parati mong binibigla ako.,You always surprise me.,Permi ko nimo ginapakuratan.
Araw-araw umiinit.,It's getting hotter every day.,Taga-adlaw mo init.
"Mamayang gabi, gusto ko ng pizza.","Later in the evening, I want pizza.",Ganahan ko mokaon ug pizza unyang gabie.
Parating dapat mag-isip kayo bago magsalita.,You should always think before you speak.,Dapat permi nga maghuna-una sa bago mo istorya.
Masyadong marami para bilangin.,Too many to count.,Daghan ra kaayo para ma-ihap.
Hindi na uso ang pantalong velvet.,Velvet pants are out of fashion.,Dili na uso ang velvet na pantalon.
Nagsimula siyang tumakbo.,He started running.,Nagsugod na siya ug dagan.
Anong klaseng libro ang kailangan mo?,What kind of book do you need?,Unsang klase sa libro ang imuhang kinahanglan?
"Kung heometriya ang agham ng espasyo, anong agham ng oras?","If geometry is the science of space, what is the science of time?","Kung heyometri ang syensya sa wanang, unsa ang syensya sa oras?"
Ang lawa ay puno ng maliliit na isda.,The lake is full of small fish.,Puno ug gagmay nga mga isda ang lawa.
Salamat sa mga magagandang bulaklak.,Thank you for the beautiful flowers.,Salamat sa mga nindot nga mga buwak.
Ang maleta niya'y puno ng tubig.,His suitcase is full of water.,Puno ug tubig ang iyahang maleta.
Ang karunungan ay sumpa kung walang binibigay sa kung sino mang meron noon.,Wisdom is a curse if it is not given to someone who has it before.,Ang kaalam kay tunglo kung dili ka kabalo mobahagi ni ini.
Sinamahan niya ako sa ospital.,He accompanied me to the hospital.,Gi-ubanan ko niya sa ospital.
May party kami sa kasusunod na Sabado.,We have a party next Saturday.,Aduna mi panag-tapok sa sunod Sabado.
Inalis siya sa listahan.,He was removed from the list.,Gihawa siya sa listahan.
Kailan aalis ang unang tren?,When does the first train leave?,Kanus-a mohawa ang una nga tren?
Dali!,Come on!,Dali-a!
Nandito na siya.,He is here.,Naa na siya diri.
Tumulog ako sa bapor.,I slept on the ship.,Ning tabang ko sa bapor.
Iniintay ko ang sulat ninyo.,I am waiting for your letter.,Ginahulat nako ang inyuhang sulat.
Tumakbo pa siya hanggang sa estasyon.,He ran to the station.,Ningdagan pa siya hantod sa estasyon.
Babalik ako nang alas 6 y medya.,I will be back at 6:30.,Mobalik ko sa alas 6 y medya.
Hindi ko alam bigkasin ang pangalan niya.,I don't know how to pronounce his name.,Dili ko kabalo unsaon pag basa sa imong pangalan.
Tumayo at maglakad.,Stand up and walk.,Tindog ug lakaw.
"Sa makalawa, papunta siyang Kyoto.","In the second, he was going to Kyoto.",Moadto siya ug Kyoto sunod adlaw.
Sinulatan niya ako.,He wrote to me.,Gipadalhan ko niya ug sulat.
Bukas ang kahon at walang laman.,The box is open and empty.,Abri ang kahon ug walay sulod.
Dadalhin ko siya sa ospital.,I will take him to the hospital.,Dalhon nako siya sa ospital.
Higit nang 7 milyon ang nagsasalita ng Pranses ng Quebec.,Quebec's French speakers are over 7 million.,Sobra na sa 7 ka milyon ang naga-istorya ug Pranses sa Quebec.
Itong huling tag-init pumunta ako sa Italya.,This last summer I went to Italy.,Kadtong niaging ting-init ning adto ko sa Italya.
Alas 6 na.,It's 6 o'clock.,Alas 6 na.
Iyon ang tinanggap nila sa botika.,That's what they accepted at the pharmacy.,Mao ang ilahang gidawat sa botika.
Ano sa akin ito?,What is it to me?,Unsa man ni sa akoa?
Nasa dalampasigan ang kasita niya.,His girlfriend is on the beach.,Naa sa baybayon ang iyahang kasita.
Lahat o wala.,All or nothing.,Tanan o wala?
Pinakasaya siya sa klase.,He is the happiest person in the class.,Pinakalipay siya sa klase.
Magmaneho kayo nang pinakaingat.,Drive very carefully.,Pag-amping mo sa pag-drayb.
Matamis yung keyk.,The cake is sweet.,Tam-is ang keyk.
May darating na sagot.,An answer will come.,Naay moabot na tubag.
Sino yung Ginoo?,Who is the Lord?,Kinsa ang Ginoo?
Takot siya sa ahas.,He is afraid of snakes.,Mahadlok siya sa bitin.
Uminom ako ng tasang kape sa bistro.,I drank a cup of coffee at the bistro.,Niinom ko ug usa ka tasang kape sa bistro.
Tinapos mo nang basahin itong libro?,Have you finished reading this book?,Nakahuman naka ug basa aning libro?
Nagaling siya.,He got better.,Naayo na siya.
Buksan ang bote.,Open the bottle.,Abrihi ang botelya.
Ayos ba lahat?,is everything ok,Hapsay ba ang tanan?
Tapos na kaming mag-almusal.,We finished breakfast.,Humana mi ug pamahaw.
Pakisara ng pinto.,Please close the door.,Palihog ko ug sirado sa purtahan.
Anong oras na sa 'yo?,What time is it for you?,Unsa ng oras sa imuha?
Malapit ba ang tirahan niya?,Does he live nearby?,Duol ra ba ang ilahang balay?
Siya'y magaling na dalub-agham.,He is a good scientist.,Usa siya ka maayo nga siyentista.
Ang onestidad ay isang birtud.,Honesty is a virtue.,Ang onstidad kay usa ka hiyas.
Tatlong araw na kami rito.,We have been here for three days.,Tulo na mi ka adlaw diria.
Nalito niya ang asukal sa asin.,He confused sugar with salt.,Nagtuo siya nga asin ang asukal.
Meron pa bang asukal?,Is there more sugar?,Aduna pa ba'y asukal?
Anong gusto ninyong inumin?,What would you like to drink?,Unsa inyuhang ganahan inumon?
Walang magawa ang batang babae kundi umiyak.,The girl could do nothing but cry.,Wala'y laing nahimo ang batang babae kung dili mohilak.
Seine ang tawag sa ilog na umaagos sa Paris.,Seine is the name of the river that flows through Paris.,Ginatawag nga Seine ang sapa nga nagaagos sa Paris.
Pabayaan mo siya. Kailangan niyang magsarili nang ilang minuto.,Leave him alone. He needs to be alone for a few minutes.,"Pasagdie na siya, kinahanglan niya nga mag inusara sa ubay-ubay na mga minuto."
Galing ako sa Olanda.,I'm from the Netherlands.,Gikan ko sa Olanda.
Salamat sa inyong pagkaasikaso.,Thank you for your attention.,Salamat sa iyuhang pagkamaatimanon.
Saan ka pinanganak?,where were you born,Asa ka gipanganak?
Binasa ko ang diksiyonaryo sa pinakauna hanggang sa pinakahuling pahina.,I read the dictionary from the very first to the very last page.,Gibasa nako ang diskyonaryo sugod sa pinakasugod hantod sa iwit.
Hindi ko maalaman kung bakit talagang pinupulaan mo siya.,I don't know why you are criticizing him.,Wala ko kahibalo kung ngano gyud nga ginasaway nimo siya.
Katangahan ang pagbabasa ng ganyang magasin.,Reading such a magazine is stupid.,Katangaan ang pagbasa ug ingon ana nga magasin.
Kalimutan na natin.,Let's forget it.,Kalimtan na nato.
Masyadong mabilis siyang nagsalita para sa mga estudyante.,He spoke too fast for the students.,Paspas ra kaayo siya nag istorya sa mga estudyante.
Ang peras ng Hapon ay parang mansanas.,Japanese pears are like apples.,Ang peras sa Hapon kay pareha ra sa mansanas.
Alis sa tanawin ko!,Get out of my sight!,Hawa sa akoang panan-aw.
Mainit para sa panahon.,Warm for the season.,Init ra kaayo para sa panahon karon.
May pamilya ako sa Los Angeles.,I have family in Los Angeles.,Aduna koy pamilya sa Los Angeles.
Ito ang gusto ko.,This is what I want.,Kani ang akoang ganahan.
Pabayaan mo akong manuod ng mga litratong iyan.,Let me look at those photos.,Pasagdi-e ko molantaw anag mga hulagwaya.
Kailangan kong mag-aral.,I have to study.,Kinahanglan nako mag-tuon.
Wala akong naintindihan!,I didn't understand anything!,Wala koy masabtan.
Ibigay mo sa akin ang kutsara.,Give me the spoon.,Ihatag sa akoa ang ang kutsara.
Hindi siya dalubhasa sa Istorya.,He is not an expert in History.,Dili siya hawod sa pag-istorya.
Bibili ako ng tinapay.,I will buy bread.,Mopalit ko ug pan.
Huwag mong pahirapan ang sarili mo.,Don't torture yourself.,Ayaw palisuri ang imuhang sarili.
Ang taas ko ay 1.83 metro.,My height is 1.83 meters.,1.83 metros akoang gitas-on.
Bago itong libro.,This is a new book.,Bag-o ni nga libro.
Namula ang mukha ni Tom.,Tom's face turned red.,Namula ang nawong ni Tom.
Tatawagin ko sila bukas pagkabalik ko.,I will call them tomorrow when I get back.,Tawagon nako sila ugma pagbalik nako.
Pumunta ka sa park.,You go to the park.,Adto sa parke.
Sa likod ng bahay ko ay sambahan.,Behind my house is a church.,Sa likod sa amoang balay kay simbahan.
Hindi ko kabisado siya.,I didn't memorize him.,Dili nako siya kabisado.
Totoo!,True!,Tinuod!
Parini ang masarap na sopas!,Enjoy the delicious soup!,Ania na ang lami nga sopas!
Malapit ang estasyon.,The station is near.,Duol ra ang estasyon.
Bahala na siya.,It's up to him.,Bahala na siya.
Walang tinidor.,No fork.,Walay tinidor.
Hindi na uso ang pag-iisip nila.,Their thinking is no longer fashionable.,Dili na uso ang ilahang pang-huna-huna.
Nangangailangan ng malinis at preskong hangin at tubig ang mga bulaklak at puno.,Flowers and trees need clean and fresh air and water.,Nanginahanglan ug limpyo og presko nga hangin ug tubig ang mga buwak ug puno.
May mga kaibahan sa Ingles ng Britaniko at Ingles ng Amerikano.,There are differences between British English and American English.,Adunay kalahian ang Ingles sa Britaniko ug Amerikano.
Paalam!,Goodbye!,Panamilit!
"Kung alam ko, hindi na sana ako pumunta.","If I had known, I wouldn't have gone.","Kung kabalo lang ko, wala na unta ko ni anhi."
Ako'y kasing tangkad niya.,I am as tall as him.,Kaparehas ra mi ug gitas-on.
Nakakatuwang napapatulog ako nang makinig ako sa kantang ito.,It made me fall asleep listening to this song.,Makalingaw nga gipatulog ko ni ining kantaha.
Ang mas matandang siyudad ang mas maraming ginagawang basura.,"The older the city, the more garbage is produced.",Ang mas tigulang na nga nasud ang mas daghan ug ginahimong basura.
Husto na ito para sa akin.,This is fine for me.,Sakto na ni para sa akoa.
Bakit ka umiiyak?,why are you crying,Nganong gahilak man ka?
Mahangin ngayon.,It's windy today.,Kusog ang hangin karon.
"Tatay, puwede ba akong pumunta roon na kasama si Masao?","Dad, can I go there with Masao?","Tatay, pwede ba ko nga moadto padulong didto kauban si Masao?"
