document,topic_id
"yes, bob helped me.",0
"you don't have any plants or animals, do you?",-1
you wear expensive earrings.,-1
"sorry, don't shout!",80
my mother is a good cook.,-1
are you still married?,2
things that happened are in the past.,-1
his brother has disappeared from the city.,-1
"next year, my birthday will be on a sunday.",66
tom likes reggae.,25
that is in god's hands.,-1
"yes, come here exactly at 3 o'clock.",-1
mount fuji is about four times higher than mount rokko.,-1
did you know that julia lived in moscow for 10 years?,21
that's why he speaks russian very well.,-1
"antoine lavoisier died in paris, france.",34
what is the reason?,39
the cause of his toothache was that he ate too many sweets.,4
are you spanish,2
"no, but i know how to kill.",-1
"you don't care, do you?",-1
"he likes to gossip, so he has many enemies.",4
i fell asleep before dad came home.,-1
i cooked eggplant and eggs for breakfast.,3
eggplant is delicious if you eat it with vinegar.,3
is there a white eggplant?,3
they say that eggplant has a lot of nicotine.,81
"he doesn't eat it, does he?",-1
tell me what you find out.,65
i am a muslim.,60
the dog chases the cat and the mouse is chased by the cat.,5
i received his call yesterday.,26
the structure could not withstand the earthquake.,-1
there is no stopping if women talk.,-1
it doesn't look like an artist painted it.,-1
you don't know what it's like to lose a family in a war.,9
i suspect he is involved in terrorism.,-1
this hotel belongs to my husband's brother.,-1
this hotel belongs to my brother-in-law.,-1
i can't start the car.,5
that's because his father worked there.,38
your brother won't buy that.,-1
he moved like a gay man.,4
all the rebels are dead.,-1
he is the son of my uncle and aunt.,55
he is my cousin.,76
"i love how the french write the word ""ladybug"" in their language.",-1
i'm lazy to work.,59
it is dangerous to enter the enemy's camp.,69
no mangoes are blue.,-1
don't leave me alone!,80
my room is number 5.,-1
you have to be obedient to your parents.,43
the thief confessed to the theft.,-1
she avoids talking about her husband's death.,47
i don't like sad shows.,-1
the floor of that hut was made of bamboo.,-1
the only carrot in the kitchen became the nose of the snowman we made.,46
she attracts hairy men.,21
the young thief was never seen again by the police.,62
"for him, floods cause less fear than earthquakes.",47
i want to read that book when you finish reading it.,6
did you go to cairo or to alexandria?,-1
you must be sad because one of your friends died.,-1
i didn't know that the fruit was wormed before i peeled it.,20
"even though this fruit has no wound, it smells very bad.",20
there are restaurants right inside the airport.,-1
they said he was sick.,4
the sea is very green.,33
i believe in friendship.,44
he holds a ladle in his left hand.,-1
he has four cell phones.,26
you write and the children write; you all sit and write.,55
the bus has many things that can burn.,18
i found a piece of paper in the room.,32
we no longer need to evacuate because the flood has receded.,47
it will be difficult to convince the owner to sell the house.,35
i'm sure tom will get over it.,1
there is not even a guard at the entrance of this restaurant.,-1
the mouse ran under the bed.,-1
the world is shaped like a ring.,-1
how do i get to su from here?,-1
tomas is to blame for all of this.,1
the noise of cars here to us.,5
the voices of the people inside the office were weak.,-1
the amazon is a river.,-1
he always comes early.,-1
squid ink is edible while pen ink is not.,32
wait until i come back.,-1
don't move that spoon and glass.,-1
he hid his ugly face.,4
tom has an ugly face.,1
"when you want to cry, cry.",31
do you want to leave it at that?,-1
avocado is a fruit.,20
i will make coffee.,24
"would you like to leave a message? ""no, thank you.""",-1
my godfather gave me that red dress.,-1
the child defecated while in the classroom.,15
your shit stinks.,-1
your child peed in the diaper.,68
this book is very important to students of science.,15
i don't know if there is pandesal in other countries too.,-1
it's good to eat pandesal with coffee.,24
many pandesals are now no longer salty.,-1
contribute to tatoeba.,-1
tell the truth.,-1
he may not be happy.,4
blood dripped from his wound.,4
mental health is more important than physical health.,-1
my sister doesn't like to cook.,-1
i haven't kissed her yet.,-1
he can do nothing but accept.,-1
he is blind in one eye.,79
firefighters helped him.,-1
he no longer buttered the surface of the burnt bread.,3
"help me, please?",2
do you have a needle and thread?,2
this sentence is correct.,0
it's a wonder he's not here.,9
he always comes at this time.,-1
"you should apologize to him, and now.",-1
where did you feed them?,-1
i'd rather go out than stay in.,-1
"tom ate some of the ham, and then hid the rest in the refrigerator.",1
we stood up together.,-1
i had to give tom a little help.,1
take it easy. i can't hear you.,10
isn't that black?,-1
can i turn on the light,-1
"come on, let's swim.",0
i'm so tired of living.,-1
neither of us answered.,-1
why don't you understand?,-1
we want to learn some spanish songs.,-1
he has no children.,19
he breathed deeply.,4
you are afraid,56
you are afraid.,56
you are afraid of me.,56
kings have long arms.,-1
do you think it's impossible to finish work before five o'clock?,-1
do not repeat that word inside the house of god.,-1
tom didn't have to paint the fence.,1
they removed it a week after he painted it.,-1
how many of your students are here?,15
they have two daughters.,-1
we have to defend our country no matter what we spend.,-1
"when my parents find out you're here, they might do something unpleasant.",-1
i have been a teacher for fifteen years.,28
who is marco?,2
he is my brother.,76
i think your work is okay.,0
he always listens to the news on the radio.,18
i know what you're thinking of doing.,0
that chapel was built by the spaniards centuries ago.,-1
am i wrong?,2
the food is cold.,3
it is the tallest tower in japan.,14
he spun around when he heard his voice.,-1
can you lend me a stapler?,-1
"we waited for a long time, but he did not appear.",-1
"at that age, you should know better.",28
he played tennis all day.,75
"me too, i want that dress.",-1
he looked at her in the mirror.,-1
tom challenges mary to a game of chess.,11
"this time, you cannot escape the punishment.",10
he is a very diligent student.,15
"he who wakes up early, gets rich easily.",-1
don't work too hard!,-1
marie makes the children happy.,68
you made tom play the guitar.,25
everyone says they are innocent.,-1
he is afraid to swim.,4
why don't you look it up in the phone directory?,26
everyone on the ship thought it would sink.,33
he washes the car.,5
the old man ate some porridge.,3
i have a dictionary.,-1
i see the light.,-1
can you put the luggage in the car?,17
i met him with tom.,1
i met him at tom's house.,1
i went to su.,-1
watch the boy for me for a while.,-1
"at that very minute, his cell phone rang.",26
i have been smoking since i was nineteen years old.,81
the old couple sat side by side.,-1
they don't sell that.,-1
why are you so happy?,-1
guess who i saw today!,-1
he was the first to help her.,12
what changed your mind?,-1
"if you can't do what you want, you do what you can.",-1
you have to be more careful.,-1
they are yellow.,0
let's turn off the television.,72
are you close to your family?,-1
we have to buy them from other countries.,-1
i'll put that to sleep.,23
we are sugar free.,-1
i was in another ambulance.,54
he used flower juice to make ice cream.,24
why is one of that person's teeth gold?,-1
soup that is too salty is bad.,3
wash the garment in soapy water and the stains will be removed.,-1
this fabric stains easily.,-1
"no, no, no!",-1
i must choose between these two.,-1
the soldier gave his name.,-1
the apple fell!,20
i just received your message.,-1
you and i are best friends.,44
"no matter what game he plays, he always wins.",12
he doesn't know how to drive a car.,9
tom doesn't want me to be here if mary is here.,11
i promise i won't tell anyone.,-1
he wants a friend.,44
it is possible that he will come here tomorrow.,-1
he is better at math than me.,-1
welcome to my house.,-1
i lent my coat to a friend of my brother's.,-1
the children are making noise.,-1
do not get off the train until it stops.,18
he was absent from school due to illness.,4
"when ice melts, it turns into water.",-1
what you say is meaningless.,-1
my throat hurts from smoking too much.,-1
is the hotel close to the airport?,-1
the windows were covered with spider webs.,30
tom knew he was hearing something.,1
i can't now.,10
he entered the room at a run.,37
you answer in english.,0
their habits are really funny!,-1
everyone admires henry.,-1
his last letter was in the fall of 2010.,-1
tom didn't know what happened.,1
we are all here.,0
what show at 10?,-1
this item is for sale.,-1
tom doesn't put sugar in his coffee.,1
the children must go out to play.,-1
i want to know the details.,0
i always make mistakes.,31
i want to leave this difficult job to him.,-1
i live in hyogo.,-1
really?,2
do you have a favorite author that you read?,6
i opened the box and looked inside.,30
they went on a trip abroad for the first time.,48
why live when we will die?,64
be careful when crossing the road.,-1
he looked at himself in the mirror.,-1
i bought this book the other day.,6
he is not serious.,-1
i can't cut nails and iron at the same time.,-1
i can't get rid of my pimples.,-1
you sing.,0
do you still believe in stories like this?,-1
he stood in front of the mirror.,-1
why does the rag you're holding smell so bad?,-1
many foreigners come here to japan to learn japanese.,14
"i don't like grilled fish, what about raw fish?",3
murielle is from india.,-1
we went to the back of the car and then drove off.,5
do not smoke inside this room.,-1
ann was in a hurry this morning.,-1
why is it so hot?,-1
my nose itches.,-1
my eyes itch.,79
i water the yard.,-1
we ran out of food.,3
do not read while eating.,-1
he complains all the time.,4
i just received the news.,-1
he took a book from the shelf.,6
he forgot to bring clothes.,52
no passengers died in the accident.,40
are you sure he will help us?,-1
"it's not the last train, is it?",18
spread the ketchup on the chicken wings on that plate.,3
his hands are rough.,4
that flower was fragrant but i didn't pick it.,27
the flower you picked from the garden is very ugly.,27
where will the lizard with five legs go?,-1
why does this lizard have five legs?,29
the tail of the five-legged lizard was cut off.,29
i'm still hungry.,3
"he knows how to speak english, and also french.",49
he wasn't sure what to do.,9
can you make drugs from the laboratory?,-1
i'm not dead yet.,-1
the shadow of the stick is obvious.,30
he went for a walk.,37
you should not read other people's letters without permission.,-1
keep the child away from the fire!,-1
"i told the kids to shut up, but they just kept making noise.",-1
you should sleep now.,23
where are you from,2
bananas that are green are not ripe enough to eat.,20
my parents died.,43
they just moved here the other day.,8
he traveled from boston to san francisco via chicago.,-1
"whatever i do, he says i can do better.",-1
has the postman come yet?,2
"if only i had enough money, i would have bought that bag.",17
i just walked towards it.,-1
you can read any book that interests you.,6
i actually have you to thank for this.,67
can you fix that?,2
he cleared the dishes from the table after dinner.,3
can he come to the meeting tomorrow?,-1
i brought a dozen spoons and twice as many forks.,-1
"what would you like, tea or coffee?",24
can you please not do that?,-1
i couldn't understand a word he was saying.,-1
he himself went there.,-1
"if i ever get caught, you don't have to wait for me.",70
10% of the citizens come from japan.,14
these children are boys and those are girls.,-1
someone stole all my money.,-1
tom is happier now that mary has left.,11
i have many flowers. there is red and there is yellow.,27
you will receive a reward for helping.,0
he likes tigers.,-1
i want to make sure you are who you say you are.,-1
it's something we see but don't clean every day.,-1
you should clean your room every day.,8
ihele your child.,68
my elder brother wants to study abroad.,48
i want to learn chinese next year.,14
a passport is essential for your travel.,-1
no doubt he will be back.,-1
a misfortune happened to him.,4
you have forgotten.,52
you don't seem too happy to see me.,-1
"of course, you can do whatever you want.",0
why would you want to do such things?,-1
no one talks to me.,-1
i'm not saying you should go alone.,70
are you sure you don't want to do that?,-1
"no matter what you say, i won't change my mind.",-1
these shoes are not suitable for running.,-1
tom is so busy that he doesn't eat lunch.,1
he gave him something to drink.,51
better yet let me do that for you.,0
teenagers enjoy his books.,6
the luck! nothing broke.,7
now i'm drinking cervesa.,51
i will stay with you for a few days.,-1
i am fifteen years old in this picture.,28
we work every day except sunday.,8
i want to read.,6
"he can't do this kind of work, not even him.",9
"when viewed from space, the river looks like a huge snake.",-1
someone grabbed me from behind.,-1
i will do that on the condition that you help me.,0
he wears glasses.,-1
i'm not feeling very well.,31
you are the tallest.,-1
you are the tallest of us all.,-1
i am a masseuse.,-1
ken beat me in a game of chess.,-1
we sat in the middle of the room.,0
listen!,7
this peanut is very crunchy.,-1
many teachers do not have a decent job considering the hours they work.,15
you have to go there too.,-1
this book is in the school library.,6
his feet were visible in the snow.,46
it all depends on whether you pass the exam.,15
"he tried to hold her, but she continued to cry.",12
the rooster sings every sunrise.,53
my father will be operated.,38
i watched tv for two hours yesterday.,72
the man disappeared into the forest.,-1
marry me,-1
you can count on me,0
i don't like spicy foods.,-1
can i see what's on other channels?,-1
"i listened, but i didn't understand anything.",10
i have no idea who he is.,-1
he didn't get the exam.,15
i can't go tonight.,-1
"when i hear that song, i remember the days of my youth.",-1
i heard what tom said to mary.,11
the mother put her son to sleep.,23
the table is full of dust.,41
tom has short hair.,1
a car is coming.,5
don't worry about your dog. i will take care of him.,-1
you need to learn to ride a bike.,40
my country is far from japan.,14
did you study yesterday?,-1
is the road long or short?,-1
he just came. did you find out,61
can i talk to mike,26
do you have a match,-1
sorry but i don't smoke.,81
you don't smile.,10
raw when we eat fish.,-1
that's what i deserve.,-1
when are you getting married,2
can you lend me your pen,-1
have you called him,26
do you go to work on sunday?,8
"we lost our way, and to make matters worse the rain overtook us.",0
tom has a few more things to do before he can leave.,1
tom didn't seem interested.,1
how often do you shower in a week?,-1
yesterday i was doing nothing.,19
tom visits mary's grave.,11
i have to leave.,-1
everyone wants to know you. you are famous!,-1
my father has five brothers.,38
this is the baseball bible.,6
there is much wisdom found in the bible.,6
my plans fell apart one by one.,-1
take the luggage upstairs.,17
i watched that movie a long time ago.,-1
the singer is famous not only in japan but also in europe.,14
i have a lot of work to do.,59
was i born in may?,3
he saved us all.,13
he married his daughter to a rich man.,55
do you know what the capital of belgium is?,71
jack decides to cancel the reservations.,40
what you said reminded me of a strange experience many years ago.,-1
"i'm really sorry, but i disagree.",10
i'll take them to kate.,5
my father will cook a delicious meal tomorrow morning.,3
john is two years older than me.,-1
no problem!,7
there are many leeches in my farm.,29
the sun will rise again soon.,22
my grandmother can drive a motorcycle.,40
i will take a plane to hanoi tomorrow.,-1
tom ate your candy.,1
do you need the keys?,-1
was ken at home yesterday?,-1
he has two cars.,5
where did you see those girls?,21
i need a knife.,-1
he is married and has two children.,55
have you ever moved abroad?,2
what will you give him?,-1
i am too old to go to germany.,-1
i will have to cancel my meeting.,-1
i don't want to leave right away.,58
"when you have a little more time, i would like to talk to you about some problems.",-1
long live the queen!,7
he went to their house to find out where she lived.,-1
a cow has a long tail.,-1
man learns when he teaches.,15
i don't think anyone has lived in this house for many years.,-1
"the answer is ""yes"".",0
there is no cure for elbow pain.,-1
elbow him!,7
maybe we took the wrong road.,0
you don't have to hide your feelings.,47
are we in danger?,2
do you have coins in your wallet?,-1
tom doesn't look old.,1
"tell me, will mother go to the train station to wait for father?",18
you look like a tourist.,-1
i am waiting for a letter from him.,37
you will see children selling tulips on the street.,27
i want to hold her hand.,0
why are you so itchy? do you have lice?,-1
why did you do that?,39
open the door.,30
what do you want to do?,2
he fell to the floor.,4
at first he seemed unfriendly.,-1
i don't recognize them.,-1
do not scratch the mosquito bite. that will be red.,57
be careful when using matches!,-1
mary is a witch.,11
don't leave the tv on!,72
the boy's teeth are ugly because he doesn't brush them.,-1
the rice is not cooked yet.,3
"just a minute, huh?",-1
don't run too fast.,57
maybe you bump into that expensive statue?,-1
they really are men.,12
do not hold anything.,57
i need to drink something for my cold.,51
who plays the piano?,25
i will give you the money tomorrow.,8
he thinks blue is the best color.,-1
"he is very careful, so he doesn't make mistakes very often.",-1
i got this bike for free.,40
tom was the one who found the body.,1
tom had nothing to drink yesterday.,1
can i come too?,-1
melanie is very busy now.,-1
melanie is still drinking milk.,24
the cat is sitting on the table.,41
so i'm telling you not to go alone.,-1
you are a liar.,-1
the noise kept me up all night.,-1
a friend of mine called me last night.,26
what a beautiful rose it is!,27
it's unbelievable that no one was trapped by the collapsed building in this morning's earthquake.,-1
he greeted the lady.,13
i have bad breath.,-1
man is mortal.,64
something very strange seems to be happening in the park.,-1
"wanting to ask a question, he raised his hand.",13
tom knew very well that mary was in the hospital.,11
he cooked the dinner himself.,3
"when you want to fool the world, tell the truth.",-1
i carefully wrote down everything my teacher said.,55
her husband started working out of necessity.,-1
that's how he learned english.,49
i want to study abroad.,48
he plans to start his business.,-1
are there other fears?,56
we were all drenched in sweat.,-1
water the flowers.,27
he is over forty.,28
how many hours do you work each week?,-1
tom is a trustworthy person.,1
i'm not saying this for myself.,-1
i saw him on my way home.,37
i have to go home a little early today.,-1
don't forget to put out the fire.,-1
the meeting will take place tomorrow.,-1
a man appeared at the door.,30
look at that meteor.,46
"this letter is personal, and i don't want anyone else to read it.",-1
ann has many friends.,44
the maid had finished cleaning the room when carol entered.,37
watch out for the dog!,7
i had to take care of her baby.,21
i don't care about him.,-1
"if you ever want more information, don't hesitate to call me.",-1
i'm tired of eating at restaurants.,-1
have you ever ironed your own clothes?,-1
he was unconscious.,4
the puppy licked her cheek.,4
"for this recipe, only one onion is needed.",3
she cried non-stop for several hours.,-1
we have a serious problem here.,0
i told him not to drive fast.,9
i made him cry.,4
they all drowned.,-1
the dog is lying under the table.,41
he can swim farther than me.,-1
he traveled with only a dog as his companion.,45
you promised me you would take care of them.,-1
the exam is at 4 pm.,15
you don't have to do that here.,-1
don't ask me a hard question.,47
you must stop him.,4
we received the news of your marriage.,-1
"what he needs is not money, but love.",-1
my mother is angry.,21
he was as happy as a king.,13
who is the phone manufacturer? bell or meucci?,26
we went out even though it was very cold.,-1
"since the weather is so nice, can i open a window?",-1
he lowered his head in shame.,4
take things a little more seriously.,0
another five to ten years are needed before the technology is ready.,-1
what will happen to our children when a nuclear war starts?,-1
i explained the process to him.,13
tom opened a can of tuna.,-1
keep him away.,-1
i give up.,-1
"although he is rich, he is not happy.",-1
let's rest in a shady place.,-1
do ghosts have shadows?,-1
are you sure you don't want to eat?,-1
there's nothing wrong with staying up late on sunday.,-1
you should not rely on other people's help.,-1
"tom, get us out of here!",1
do you have something to do tomorrow?,8
"call someone who can speak japanese, please.",14
welcome back. we are looking for you!,7
he is not cruel to animals.,-1
it is a good place for hunting.,0
this cat does not chase mice.,5
tom is mary's best friend.,11
you shouldn't tell him anything about your boyfriend.,9
"i am traveling far, visiting foreign countries, doing things i have never done before.",48
i don't know anything about what happened.,-1
what train do you take?,18
he talks in his sleep.,23
don't talk to me ever again.,-1
i think someone is knocking on the door.,30
what have you been up to this week?,8
his theory is hard to understand.,-1
"i'm sick of museums, graveyards of the arts.",-1
i'm really sorry; the person you want to talk to is not available right now.,9
why is my fridge empty of food?,-1
i helped him carry his luggage.,17
i came to japan two years ago.,14
you are the one who doesn't understand.,10
do you have anything to read?,-1
mom! hector is bothering me!,7
can you leave us for a moment?,2
"we cannot live without water, not even for a day.",47
i know you hate me.,-1
did you see them,-1
no one was there when he entered the kitchen.,37
don't play with fire.,57
"the sun rises earlier in summer,",22
this fish has many small bones in its body.,53
tom talked to mary's neighbors and asked them if they knew where she had gone.,11
i can't yell at marika.,-1
he is a visitor from another country.,48
tom belongs to john and mary.,11
this building is nearing completion.,-1
he ate cake and drank tea.,24
the school is like a cell.,-1
the balloon flew into the sky.,22
they are clean.,0
science is not religion.,60
i wish i had listened to what my mother said.,-1
my father and brother are both fond of gambling.,-1
we cannot release the prisoners today.,-1
i wish i was in paris.,34
night came.,-1
are you adding new sentences to tatoeba?,-1
the train is full of people.,18
two families live in the house.,43
i'm on the right.,0
come here.,0
french schools are closed this wednesday.,34
where is my watch,-1
life is expensive in big houses.,17
we have two daughters.,-1
my hair is not cut properly.,-1
was that a dream?,2
i have a plastic cup.,-1
everything is black and white in my room.,35
what is the name of this fruit?,20
the lyrics to canada's national anthem were first written in french.,34
red is out of fashion.,-1
tom promised that he would be home early tonight.,-1
an earthquake destroyed the building.,-1
he is good at physics.,-1
"on the fifth day, the chick was still alive.",-1
there is a book about dances on the table.,6
you are wrong if you think he is wrong.,9
i see tears in your eyes.,79
i would like to return to your village.,-1
researchers have created kittens that can give off light when they are in the dark.,5
i think you are wrong.,42
his life is in danger.,4
he was married at the age of seventeen.,28
poyang lake is the largest freshwater lake in china.,-1
i see the cross made of gold.,-1
the school was founded in the year 1650.,-1
kate was caught.,5
sydney is far from here.,-1
a cat is not a person!,5
you are not japanese.,14
his grandfather had died of cancer a year earlier.,-1
wrong.,0
the agreement was signed.,0
you know i want to know that.,0
even a blind chicken can find a grain.,53
someone lost a wallet.,17
we only have two dollars.,17
give me a dollar for the book.,6
president jackson left after a few minutes.,37
"based on physical appearance, the two men are very different.",9
the papers were mixed up in a big box.,32
his feet were tired after a long day of work.,-1
the actress always wears expensive jewelry.,12
the sun lights up the earth.,22
i am gay.,-1
i have a neighbor who is gay.,-1
are you gay,2
i am a policeman.,62
he decided to try again.,12
he was cooking dinner at that time.,3
he attended the meeting.,-1
i know you are rich.,-1
"in ten years, our country will change a lot.",-1
they take care of flowers in the garden.,27
whose is that?,2
we have to follow the rules.,0
he always complains about my small salary.,4
the occupants again returned to the city.,50
who watches over this dog?,45
can i bother you to close the windows?,30
has the letter arrived yet?,-1
he stood behind me.,-1
i was never free from doubts about my son.,-1
this is a fact.,0
"in the market where i bought vegetables, you can also buy flowers.",-1
tom winked at mary.,11
"i was winking at him, but he wasn't looking.",9
i am a filipino.,-1
he died in his bed.,-1
the capital of hungary is budapest.,71
was he still here when you arrived?,61
the doctor told me to quit smoking.,54
this is my question.,0
i am the best.,0
"never forget it, please.",-1
his secretary seems to know the secret.,-1
it is a crime to spit on the floor in singapore.,-1
"now that you are of age, you have the right to vote.",-1
she is my second mother.,-1
i don't even have a single tooth cavity.,19
who owns this house?,35
you are as pale as a ghost.,-1
these are the people who saw the explosion.,-1
do you have anything to do tomorrow afternoon?,8
you are too young to fall in love.,-1
they hurried out.,-1
he was hurt when he fell.,4
fill out the form with a pen.,-1
he showed me his album.,25
i can do that on my own.,73
"i'm full, and can't eat any more.",3
tom will be alone on friday night.,1
she is not as beautiful as her mother.,-1
the sky is full of dark clouds.,22
i haven't decided yet.,-1
tom did not say how much money he spent.,1
i hate politicians like that.,-1
i put a poached egg and some fish sauce in my soup.,3
we saw a turtle in the garden.,27
i want to bring that turtle home!,8
i didn't notice anything.,-1
"in japan, classes start in april.",14
can you repeat what you said?,-1
the earthquake destroyed the old house.,-1
does this poem mean something to you?,-1
the dog and the cat sleep together in a bed.,5
is the university library open during these hours?,6
"you like tom, don't you?",1
foreign countries have beautiful architecture.,-1
i will steal.,0
i'll leave when i get the stuff.,-1
report me and i will stab you.,-1
hold the racket tightly.,75
the physician he went to was famous.,54
i did not go to school yesterday.,19
do you know where i can find that?,-1
do not make noise inside the library.,6
"you will come as a stranger, you will leave as a friend.",44
what is a picture like that doing in tom's room?,1
"at the theater, kathy and her mother switched seats.",-1
he confirmed that it was the remains of the titanic.,33
he is sitting and reading a book.,6
i will stay at home today.,8
it's almost 3 pm.,-1
living with a lion is dangerous.,29
do you accept visa?,2
children love to hear a scary story.,-1
he left me waiting.,37
what did you do with the car?,5
he came to japan when he was a child.,14
can i go home now?,-1
they named their cats tom and jerry.,5
two women are singing.,21
that is against the law.,42
you still have time to think about that.,-1
the color of the computer is red.,36
her beauty grabbed his attention.,12
the wound left a scar on my arm.,-1
this lady is from russia.,77
the house is on fire!,7
i forgot his name.,-1
he opened his mouth wide.,4
the little boy lost the money his father had given him.,4
that will not be necessary.,-1
tom doesn't know the difference between holy week and christmas.,1
he parked his car in an empty lot.,5
it was too late for them.,-1
"for me, it is impossible to answer this question.",10
you choose a weapon.,69
good evening,-1
"i have a book there with him, but he has not returned it to me.",9
i see a woman in black.,21
he threw a stone into the lake.,-1
they are trying to contact him.,26
my skirt is too long.,-1
tom looked pale. is there a problem with him?,1
"like me, lucy has many friends.",44
we have to buy them from other countries.,-1
we ran to the park.,-1
you are in europe!,71
the physician ordered me to stay in bed.,54
where is the nearest bank?,2
i will never have a daughter.,-1
he wrote this book when he was twenty years old.,6
i promise god i didn't kill tom.,1
this living room is very dark.,-1
they like the english language.,49
do you want me to tell you what i'm waiting for?,-1
i won't say anything to that person.,-1
i ate with my little brother.,-1
weather reports are difficult to always come true.,29
tom needs to come at noon.,8
"even though the accident was six months ago, my neck still hurts.",-1
what do you sell?,-1
cows give us milk and chickens give us eggs.,-1
"i'm not sure what it was, but it sounded like a gunshot.",-1
"more cheese, more holes.",-1
"more holes, less cheese.",-1
"so: more cheese, less cheese.",-1
you need to be more careful next time.,-1
i don't know how to spell the word.,10
poets cannot live without love.,-1
did you leave the door open last night?,-1
"no water, no life.",-1
"due to the intense heat of the sun, the skin on his back was burnt.",22
will you marry me,2
how old were you when you first had a girlfriend?,28
he ran with the eggs.,3
in the yard there is a rooster and three hens.,53
my sister's plate fell on the floor.,-1
tom likes his coffee black.,1
i'm almost done.,-1
i will live with my aunt in kyoto.,14
there are three people in the picture.,-1
"sorry, i missed the train.",18
students must be quiet during class.,15
compare the style of those three letters.,32
i know where we are.,-1
"in my garden there are many vegetables: lettuce, onion, garlic, etc.",-1
i'm having dinner after work.,3
i don't have the slightest doubt.,-1
i killed god.,-1
a hen laid eggs inside my closet.,3
i read to learn.,-1
tom was eaten by a crocodile.,1
he said something to her.,-1
i think it's time for me to speak.,-1
can you share food with others in times of hunger?,-1
he is a bus driver.,18
i don't care if you leave or stay.,-1
they are doing something.,0
i kissed her on the mouth.,4
he has to run very fast?,-1
he will have to go there.,-1
i know you will be hungry.,3
how many books do you think you have read so far?,6
i'm tired from walking.,-1
i need friends,44
"no matter how good you are, there will always be someone better than you.",-1
this is an old book.,6
i won't answer when he asks me that question.,9
that really doesn't work.,-1
"we have two dogs, three cats and six hens.",-1
they are not suitable for each other.,-1
it rained three times during the trip.,50
tom does not understand why mary is angry with him.,11
how do you know?,2
what vegetables do you like?,-1
i can't get hurt.,70
his lessons are really boring.,4
i count to ten.,-1
it won't happen again.,10
tom has used all his bullets.,69
no one moves the big box.,-1
it's really annoying... now i get a constant headache when using the computer!,36
i haven't seen you in a long time.,10
"you have a lot of money, and i don't have any.",17
this glue does not stick to plastic.,41
who is that little girl waving at you?,21
to see him is to love him.,-1
i heard that he bought a new computer.,36
that shop is far away.,-1
"he was born in 1946, on the 19th of august, in california.",-1
elephants are the main attraction of the circus.,29
her sister and her sister's husband live in canada.,-1
he put his hand on my shoulder.,4
what is a good time for you?,8
"the taller the tree, the more difficult it is to climb.",-1
business is slow these days.,-1
don't forget to include me in the count.,0
that movie is for kids.,-1
who teaches you german?,-1
am i pregnant,2
"people sleep when they live, they wake up when they die.",64
"bring me vinegar and oil, please.",-1
the incas were a religious people.,60
you have frizz in your hair.,-1
this is the hottest summer we've had in fifty years.,22
this book is not as interesting as that book.,6
tom is wearing a new pair of shoes.,-1
this is my car.,5
"a friend from oregon, mr. brown, will visit us tomorrow.",-1
wake me up,-1
"he gave us not only clothes, but also some money.",-1
"yes, i went there 2 or 3 times.",-1
where is the nearest museum?,-1
the war is still not over.,-1
"when he got home, he played a computer game.",36
he went to america.,-1
i heard that he passed the exam.,15
tuesday is independence day.,8
i received bad news from home today.,-1
"he is wearing the shoes, but he is not wearing the socks.",-1
don't stick paper on the wall.,32
she will have a baby next month.,-1
i have finished doing all my homework and i want to rest for a while.,-1
she always took a long time choosing her clothes.,-1
fred wrote a long letter to his mother.,21
"as for you, i will be silent.",-1
we are going to the grave now.,0
he was recognized by many inside the theater.,-1
they brought me some books.,6
i was even more angry because he laughed at me.,4
who is this person?,2
i want to know why he said that.,12
we bathed in mud.,0
tom is bald.,1
describe tom to me.,1
make him wait a moment.,37
physicians save lives.,54
the sad story made us cry.,-1
"i like him not because he is nice, but because he is honest.",-1
that will happen.,0
he wrote a letter.,-1
nothing solves this problem.,-1
tom doesn't always get what he wants.,1
thank you for trusting me.,-1
they are one of us.,0
he could not study abroad due to lack of money.,9
you don't know how worried i am.,9
it is the students' job to clean their classrooms.,15
i looked around.,-1
my sister is playing with a doll.,-1
"yes, i have a great idea.",0
he went blind.,4
they found the body of a newborn baby inside a freezer.,-1
what can i say?,-1
i can't tell you what to do.,9
i want tom to tell me what he means by that.,1
no one came today.,-1
he has strong bones and teeth.,13
i dream of going to mexico.,48
"he has three sisters: one is a nurse, and the others are teachers.",55
a ship sank yesterday near here.,33
i forgot to bring my umbrella.,52
"in paris, they speak french.",34
she is his wife now.,12
i hope you die.,-1
he came carrying a large bunch of flowers.,27
"at first, i didn't know what to do.",10
tom's early arrival; mary is not ready yet.,11
i know the whole story.,-1
tom does not have diabetes.,1
tom isn't done yet.,1
tom is not helping.,1
tom was not surprised.,1
tom is not there.,1
it is possible that he is telling a lie.,-1
why aren't you in boston?,2
dinner is almost ready.,3
all kinds of people live in tokyo.,14
i never saw him again.,-1
tom has been lucky all his life.,1
he inherited the house.,35
i better take you home.,8
"if he says ""i love you"" all the time, it's not true.",9
i hope you listened to me.,0
i thought you wouldn't like me.,-1
i said goodbye to the guests.,-1
give me a cup of coffee.,24
the mouse is here!,7
call the cat!,5
i lived in sendai for ten years before coming to tokyo.,14
jack can't afford a new bike.,40
nope. i am english,63
i don't see the little car.,5
i am serious about my work.,59
"if you want to know how to use a word, look it up in this dictionary.",-1
tom got here before me.,1
you can eat the rest of the pay.,17
these animals are tame.,29
i just had lunch.,3
the dog followed me.,45
girls first.,21
what is that big building in front of us?,-1
