tagalog,english,cebuano
ito ang aking tanong.,this is my question.,kini ang akong pangutana.
ako ang pinakamagaling.,i am the best.,ako ang pinakamaayo.
"huwag na huwag mo itong kalimutan, pakiusap.","never forget it, please.","ayaw kini kalimti, palihog."
mukhang alam ng kanyang sekretarya ang lihim.,his secretary seems to know the secret.,nahibal-an sa iyang sekretarya ang sekreto.
isang krimen ang pagdura sa sahig sa singapore.,it is a crime to spit on the floor in singapore.,usa ka kalapasan sa balaod ang pag luwa sa salog sa singapore.
"ngayon na nasa edad ka na, may karapatan ka na sa pagboto.","now that you are of age, you have the right to vote.","karon nga ikaw anaa na sa hustong edad, aduna kanay katungod sa pagboto."
siya ay pangalawang ina ko.,she is my second mother.,ikaduha nako siya nga inahan.
wala akong kahit isang butas sa ngipin.,i don't even have a single tooth cavity.,wala koy bisan usa ka lungag sa ngipon.
sino ang nagmamay-ari sa bahay na ito?,who owns this house?,kinsa ang tag-iya niini nga balay?
ikaw ay kasimputla ng isang multo.,you are as pale as a ghost.,sama sa abat ang imong ka luspad.
ito ang mga taong nakakita sa pagsabog.,these are the people who saw the explosion.,kini ang mga tawo nga nakakita sa pagbuto.
may gagawin ka ba bukas nang hapon?,do you have anything to do tomorrow afternoon?,aduna ka bay buhaton ugma sa hapon?
sobrang bata mo para umibig.,you are too young to fall in love.,bata pa kaayo ka aron mahigugma.
dali-dali silang lumabas.,they hurried out.,nagdali-dali silang nanggawas.
siya ay nasaktan nang nahulog siya.,he was hurt when he fell.,nasakitan siya sa iyang pagka tagak.
punan ang porm gamit ang isang bolpen.,fill out the form with a pen.,sulati ang porm gamit ang usa ka ballpen.
pinakita niya sa akin ang kanyang album.,he showed me his album.,gipakita niya sa ako ang iyang album.
magagawa ko iyan nang mag-isa.,i can do that on my own.,ma himo ko ra ni ug inusara.
"busog na ako, at hindi na makakain.","i'm full, and can't eat any more.","nabusog nako, ug dili na nako kaya mukaon pa."
mag-isa si tom sa biyernes nang gabi.,tom will be alone on friday night.,nag-inusara si tom kaniadtong biyernes sa gabii.
hindi siya kasingganda ng kanyang nanay.,she is not as beautiful as her mother.,dili siya ingon ka gwapa sa iyang inahan.
ang langit ay puno ng maiitim na ulap.,the sky is full of dark clouds.,ang langit napuno sa ngitngit nga mga panganod.
hindi pa ako nakapagdesisyon.,i haven't decided yet.,wala pa ako nakadesisyon.
hindi sinabi ni tom kung ilang pera ang kanyang ginastos.,tom did not say how much money he spent.,wala gi saysay ni tom kung pila gyud iyang nabayran.
naiinis ako sa mga pulitikong ganyan.,i hate politicians like that.,mairita ko sa mga pulitiko nga ingon niana.
naglagay ako ng nilagang itlog at kaunting patis sa aking sopas.,i put a poached egg and some fish sauce in my soup.,gibutang nako ug nilung ag nga itlog ug gamay nga sarsa sa isda sa akong sabaw.
may nakita kaming isang pagong sa hardin.,we saw a turtle in the garden.,nakakita mi ug usa ka bao sa tanaman.
gusto kong iuwi ang pagong iyon!,i want to bring that turtle home!,gusto nakong dad-on na nga pawikan!
wala akong napansin na kahit ano.,i didn't notice anything.,wala koy napansin nga maskin unsa.
"sa bansang hapon, ang klase ay nagsisimula sa abril.","in japan, classes start in april.","sa japan, ang klase magsugod sa abril."
pwede mo bang ulitin ang sinabi mo?,can you repeat what you said?,mahimo ba nimo usab balikon ang imong giingon?
winasak ng lindol ang lumang bahay.,the earthquake destroyed the old house.,gi guba sa linog ang karaang balay.
may kabuluhan ba ang tulang ito para sa iyo?,does this poem mean something to you?,mahinungdanon ba kini na balak sa imo?
sabay natutulog ang aso at ang pusa sa isang buslo.,the dog and the cat sleep together in a bed.,ang iro ug iring dungan nga natulog sa usa ka bukag.
bukas ba ang silid-aklatan ng unibersidad sa mga oras na ito?,is the university library open during these hours?,abli ba ang librarya sa unibersidad sa niining mga orasa?
"may gusto ka kay tom, no?","you like tom, don't you?","na ibog ka kay tom, dili ba?"
may magagandang arkitektura ang mga dayuhang bansa.,foreign countries have beautiful architecture.,ang mga langyaw nga nasud adunay matahum nga arkitektura.
magnanakaw ako.,i will steal.,kawatan ko.
aalis ako kapag nakuha ko ang gamit.,i'll leave when i get the stuff.,mobiya ko sa pagkuha nako sa gamit.
isumbong mo ako at sasaksakin kita.,report me and i will stab you.,isumbong mo ako ug dunggabon ko ikaw.
hawakan mo nang mahigpit ang raketa.,hold the racket tightly.,hugti ug kupot ang raket.
ang manggagamot na kanyang pinuntahan ay tanyag.,the physician he went to was famous.,bantog ang doktor nga iyang giadto.
hindi ako pumunta sa paaralan kahapon.,i did not go to school yesterday.,wala ko nag eskuyla gahapon.
alam mo saan ko mahahanap iyon?,do you know where i can find that?,kahibalo ba ka asa ko ni mapangita?
huwag gumawa ng ingay sa loob ng silid-aklatan.,do not make noise inside the library.,ayaw pagsaba sa sulod sa librarya.
"dadating ka na di-kakilala, aalis ka na isang kaibigan.","you will come as a stranger, you will leave as a friend.","moabut ka ingon usa ka estranghero, mobiya ka usa ka higala."
anong ginagawa ng ganyang klaseng larawan sa loob ng kuwarto ni tom?,what is a picture like that doing in tom's room?,unsa ang gibuhat sa kana nga klase nga litrato sa kwarto ni tom?
"sa teatro, si kathy at ang kanyang ina ay nagpalitan ng upuan.","at the theater, kathy and her mother switched seats.","sa sinehan, si kathy ug ang iyang inahan nag baylo ug mga lingkuranan."
kinumpirmahan niyang iyon ay mga labi ng titanic.,he confirmed that it was the remains of the titanic.,gikumpirma niya nga kana ang nahabilin sa titanic.
siya ay umuupo at nagbabasa ng isang libro.,he is sitting and reading a book.,naglingkod siya ug nagbasa ug usa ka libro.
mananatili ako sa bahay sa araw na ito.,i will stay at home today.,magpabilin ako sa balay karon.
malapit nang mag-alas 3 ng hapon.,it's almost 3 pm.,hapit na mag alas 3 sa hapon.
manirahan kasama ang isang leyon ay mapanganib.,living with a lion is dangerous.,peligro ang mamuyo kauban ang liyon.
tumatanggap ba kayo ng visa?,do you accept visa?,naga dawat ba mo ug visa?
gusto ng mga batang makarinig ng isang nakakatakot na kwento.,children love to hear a scary story.,gusto sa mga bata nga makadungog ug usa ka makahadlokon nga istorya.
iniwan niya akong naghihintay.,he left me waiting.,gibiyaan ko niya nga naghulat.
anong ginawa mo sa kotse?,what did you do with the car?,unsa imong gibuhat sa awto?
dumating siya sa bansang hapon noong siya'y bata.,he came to japan when he was a child.,miabut siya sa japan kaniadtong bata pa siya.
pwede na ba akong umuwi sa bahay?,can i go home now?,mahimo ba ako mopauli karon?
pinangalanan nilang tom at jerry ang kanilang mga pusa.,they named their cats tom and jerry.,ginganlan nila ang ilang mga iring nga tom ug jerry.
dalawang babae ay umaawit.,two women are singing.,duha ka mga babaye ang nag-awit.
iyan ay labag sa batas.,that is against the law.,supak kana sa balaod.
may panahon ka pang makapag-isip tungkol doon.,you still have time to think about that.,aduna ka pay panahon sa paghunahuna bahin niana.
ang kulay ng kompyuter ay pula.,the color of the computer is red.,pula ang kolor sa kompyuter.
ang kagandahan niya ay umagaw sa kanyang atensyon.,her beauty grabbed his attention.,nakakuha sa iyang atensyon ang iyang kaanyag.
ang sugat ay nag-iwan ng peklat sa aking braso.,the wound left a scar on my arm.,nag bilin ug peklat ang iyang samad sa bukton.
ang binibining ito ay nagmula sa rusya.,this lady is from russia.,kini nga batan-ong babaye kay gikan sa russia.
nasusunog ang bahay!,the house is on fire!,nasunog ang balay!
nakalimutan ko ang kanyang pangalan.,i forgot his name.,nakalimtan nako ang iyang ngalan.
binuksan niya nang mabuti ang kanyang bibig.,he opened his mouth wide.,gibuka niya ang iyang baba.
nawala ng maliit na batang lalaki ang pera na bigay ng kanyang tatay.,the little boy lost the money his father had given him.,nawala sa gamay nga bata ang salapi nga gihatag sa iyang amahan kaniya.
hindi na iyan kakailanganin.,that will not be necessary.,dili na kana kinahanglan.
hindi alam ni tom ang kaibhan sa pagitan ng semana santa at pasko.,tom doesn't know the difference between holy week and christmas.,wala hibal-i ni tom ang kalainan sa semana santa ug pasko.
pinarkehan niya ang kanyang kotse sa isang bakanteng lote.,he parked his car in an empty lot.,giparking niya ang iyang awto sa usa ka bakante nga lote.
ito'y huling-huli na para sa kanila.,it was too late for them.,ulahi na kaayo kini alang kanila.
"para sa akin, imposibleng sagutin ang tanong ito.","for me, it is impossible to answer this question.","alang kanako, imposible nga matubag kini nga pangutana."
pumili ka ng isang armas.,you choose a weapon.,pamili ka ug usa ka armas.
magandang gabi.,good evening,maayong gabii.
"may isang aklat ako doon sa kanya, ngunit hindi pa niya iyon sinauli sa akin.","i have a book there with him, but he has not returned it to me.","aduna akoy usa ka libro kaniya, apan wala na niya kini giuli sa ako."
nakikita ko ang isang babaeng naka-itim.,i see a woman in black.,nakita ko ang usa ka babaye nga naka itum.
nagbato siya ng isang bato sa lawa.,he threw a stone into the lake.,gilabay niya ang usa ka bato sa lanaw.
sinusubukan nilang kontakin siya.,they are trying to contact him.,gipaningkamutan nila nga makontak siya.
sobrang haba ng aking palda.,my skirt is too long.,taas kaayo ang akong sayal.
parang maputla si tom. may problema ba sa kanya?,tom looked pale. is there a problem with him?,luspad ang hitsura ni tom. aduna bay problema kaniya?
"tulad ko, maraming kaibigan si lucy.","like me, lucy has many friends.","sama nako, daghang mga higala si lucy."
kailangan nating bilhin sila mula sa ibang bansa.,we have to buy them from other countries.,kinahanglan nato sila paliton gikan sa gawas sa nasud.
tumakbo kami sa parke.,we ran to the park.,nidagan mi sa park.
kayo ay nasa europa!,you are in europe!,naa ka sa europe!
inutusan ako ng manggagamot na manatili sa kama.,the physician ordered me to stay in bed.,gimandoan ako sa doktor nga maghigda ra.
nasaan ang pinakamalapit na bangko?,where is the nearest bank?,asa ang pinakaduol nga bangko?
hinding-hindi na ako magkaka-anak na babae.,i will never have a daughter.,dili na ako makabaton ug mga anak nga babaye.
sinulat niya ang aklat na ito noong siya ay dalawmpung taong gulang.,he wrote this book when he was twenty years old.,gisulat niya kini nga libro sa edad nga baynte anyos.
pinapangako ko sa diyos na hindi ko pinatay si tom.,i promise god i didn't kill tom.,misaad ako sa diyos nga wala ko patya si tom.
napakadilim ng salang ito.,this living room is very dark.,ngitngit kaayo kini nga sala.
gusto nila ang wikang ingles.,they like the english language.,gusto nila ang ingles nga sinultian.
gusto mong sabihin ko sa iyo anong hinihintay ko?,do you want me to tell you what i'm waiting for?,gusto ba nimo nga isulti ko kanimo kung unsa ang akong ginahulat?
wala akong sasabihin sa taong iyan.,i won't say anything to that person.,wala akoy isulti sa kanang tawhana.
kumain ako kasabay ng aking batang kapatid.,i ate with my little brother.,nangaon ko kauban akong manghud.
ang mga ulat panahon ay mahirap na palaging magkatotoo.,weather reports are difficult to always come true.,ang mga ulat sa panahon lisud nga kanunay matuman.
kailangan ni tom na dumating sa tanghali.,tom needs to come at noon.,kinahanglan nga moabut si tom sa udto.
"kahit na ang aksidente ay anim na buwan nang nakalilipas, sumasakit pa rin ang leeg ko.","even though the accident was six months ago, my neck still hurts.","bisan kung ang aksidente nahitabo unom ka bulan ang milabay, sakit gihapon ang akong liog."
anong binebenta mo?,what do you sell?,unsa man ang imong gibaligya?
ang mga baka ay nagbibigay sa atin ng gatas at ang mga manok naman ay itlog.,cows give us milk and chickens give us eggs.,ang mga baka naghatag kanamo gatas ug ang mga manok nangitlog.
"hindi ako sigurado kung ano iyon, ngunit parang putok ng baril.","i'm not sure what it was, but it sounded like a gunshot.","dili ko sigurado kung unsa kana, apan ingon kini ug usa ka buto sa pusil."
"mas maraming keso, mas maraming butas.","more cheese, more holes.","daghang keso, daghang buslot."
"mas maraming butas, mas kaunting keso.","more holes, less cheese.","mas daghang buslot, mas gamay ra ang keso."
"kaya: mas maraming keso, mas kaunting keso.","so: more cheese, less cheese.","mao nga: daghang keso, mas gamay ra ang keso."
kailangan mong maging mas maingat sa susunod.,you need to be more careful next time.,kinahanglan nga mag-amping ka sa sunod.
hindi ko alam paano baybayin ang salita.,i don't know how to spell the word.,wala ko kahibalo unsaon pagsulat ang pulong.
hindi mabubuhay ang mga makata nang walang pag-ibig.,poets cannot live without love.,ang mga magbabalak dili mabuhi kung wala ang gugma.
ikaw ba ang nag-iwan ng pinto na nakabukas kagabi?,did you leave the door open last night?,gibiyaan ba nimo nga abli nag pultahan gabii?
"walang tubig, walang buhay.","no water, no life.","wala?y tubig, wala?y kinabuhi."
"dahil sa matinding init ng araw, nasunog ang balat ng kanyang likod.","due to the intense heat of the sun, the skin on his back was burnt.","tungod sa grabe nga kainit sa adlaw, nasunog ang panit sa iyang likud."
pakakasalan mo ba ako?,will you marry me,pakaslan ba ko nimo?
ilang taon ka noong unang nagkaroon ka ng isang nobya?,how old were you when you first had a girlfriend?,pilay edad nimo atong una ka naka uyab?
tumakbo siyang dala-dala ang mga itlog.,he ran with the eggs.,nagdagan siya dala ang mga itlog.
sa bakuran ay may isang tandang at tatlong inahin.,in the yard there is a rooster and three hens.,sa tugkaran adunay usa ka manok ug tulo ka mga
nahulog ang pinggan ng kapatid kong babae sa sahig.,my sister's plate fell on the floor.,nahulog sa salog ang plato sa akong igsoon.
gusto ni tom na ang kape niya ay itim.,tom likes his coffee black.,gusto ni tom nga itom ang iyang kape.
malapit na akong matapos.,i'm almost done.,hapit na ko mahuman.
maninirahan ako sa aking tiya sa kyoto.,i will live with my aunt in kyoto.,mopuyo ko sa akong iyaan sa kyoto.
may tatlong tao sa larawan.,there are three people in the picture.,adunay tulo ka mga tawo sa litrato.
"patawad, hindi ko inabutan ang tren.","sorry, i missed the train.","pasensya, wala naki na abtan ang tren."
kailangang manahimik ang mga mag-aaral habang nagkaklase.,students must be quiet during class.,ang mga estudyante kinahanglan maghilum sa panahon sa klase.
paghambingin ang estilo ng tatlong titik na iyon.,compare the style of those three letters.,itandi ang estilo sa tulo ka letra.
alam ko kung saan tayo.,i know where we are.,nahibal-an na nako kung diin kami.
"sa hardin ko ay may maraming gulay: letsugas, sibuyas, bawang, atbp.","in my garden there are many vegetables: lettuce, onion, garlic, etc.","sa akong tanaman daghang mga utanon: letsugas, sibuyas, ahos, ug uban pa."
ako ay naghahapunan pagkatapos ng trabaho.,i'm having dinner after work.,nanihapon ko pagkahuman sa trabaho.
wala akong kahit kaunting duda.,i don't have the slightest doubt.,wala akoy bisan gamay nga pagduha-duha.
pinatay ko ang diyos.,i killed god.,gipatay ko na ang ginoo.
isang inahin ay nangitlog sa loob ng aking aparador.,a hen laid eggs inside my closet.,usa ka manok ang nangitlog sa akong aparador.
bumabasa ako para matuto.,i read to learn.,naga basa ko aron mas maka kat-on.
kinain si tom ng isang buwaya.,tom was eaten by a crocodile.,gikaon si tom ug usa ka buaya.
may sinabi siya sa kanya.,he said something to her.,naa siyay gi sulti sa iya.
sa tingin ko oras na para ako'y magsalita.,i think it's time for me to speak.,sa akong hunahuna panahon na nga mu lungtad ako.
makakabahagi ka ba ng pagkain sa iba sa panahon ng kagutuman?,can you share food with others in times of hunger?,mahimo ba nimo ipaambit ang pagkaon sa uban sa mga panahon sa gutom?
siya ay isang tsuper ng bus.,he is a bus driver.,usa siya ka drayber sa bus.
wala akong pakialam kung ika'y aalis o mananatili.,i don't care if you leave or stay.,wala koy labot kung mobiya ka o magpabilin.
may ginagawa sila.,they are doing something.,aduna silay gibuhat.
hinalikan ko siya sa bibig.,i kissed her on the mouth.,gihagkan ko siya sa labi.
kailangan niyang tumakbo ng napakabilis?,he has to run very fast?,kinahanglan ba siya modagan og ingon paspas?
kakailanganin niyang pumunta riyan.,he will have to go there.,kinahanglan siya moadto didto.
alam kong ikaw ay magugutom.,i know you will be hungry.,kabalo ko nga gutumon ka.
ilang aklat sa tingin mo ang nabasa mo na hanggang ngayon?,how many books do you think you have read so far?,pila ka libro ang nabasa na nimo hangtod karon?
pagod na ako sa kakalakad.,i'm tired from walking.,gikapoy nakog lakaw.
kailangan ko ng mga kaibigan.,i need friends,kinahanglan nako ug mga higala.
"kahit gaanong magaling ka, palaging may taong higit na magaling kaysa sa iyo.","no matter how good you are, there will always be someone better than you.","bisan kung unsa ka ka maayo, kanunay adunay usa nga labi ka maayo kanimo."
ito ay isang lumang aklat.,this is an old book.,kini usa ka daan nga libro.
hindi ako sasagot kapag itatanong niya sa akin ang tanong na iyon.,i won't answer when he asks me that question.,dili ko tubagon kung gipangutana niya ako sa kana nga pangutana.
talagang hindi gumagana iyan.,that really doesn't work.,dili gyud kana magsilbi.
"may dalawang aso, tatlong pusa at anim na inahin kami.","we have two dogs, three cats and six hens.","adunay kami duha ka mga iro, tulo nga mga iring ug unom ka manok."
hindi sila bagay sa isa't isa.,they are not suitable for each other.,dili sila hinungdan sa matag usa.
umulan nang tatlong beses sa biyahe.,it rained three times during the trip.,ika tulo nga ni ulan sa biyahe.
hindi naiintindihan ni tom kung bakit nagalit sa kanya si mary.,tom does not understand why mary is angry with him.,wala masabut ni tom kung nganong nasuko kaniya si mary.
paano mo nalalaman?,how do you know?,giunsa nimo pag kabalo.
anong mga gulay ang gusto mo?,what vegetables do you like?,unsang mga gulay ang gusto nimo?
hindi ako madamot.,i can't get hurt.,dili ko kuripot.
ang mga leksiyon niya ay talagang nakakayamot.,his lessons are really boring.,maka puol jud ni iyang mga leksyon.
ako ay bumibilang hanggang sampu.,i count to ten.,ako nagaihap hangtod napulo.
hindi na mauulit.,it won't happen again.,dili na mausab.
nagamit na ni tom ang lahat ng mga bala niya.,tom has used all his bullets.,gigamit ni tom ang tanan niyang bala.
walang nakakagalaw sa malaking kahon.,no one moves the big box.,walay manghilabot sa dakong karton.
talagang nakakainis... ngayon ay sumasakit palagi ang ulo ko kung gumagamit ng kompyuter!,it's really annoying... now i get a constant headache when using the computer!,makalagot gyud ... karon kanunay sakit ang akong ulo tungod sa sige nako ug gamit sa computer!
matagal na kitang hindi nakita.,i haven't seen you in a long time.,dugay na kita wala na himamat.
"ang dami mong pera, at ako wala ni isa.","you have a lot of money, and i don't have any.","ka daghan nimo ug kwarta, ug ako wala maski isa."
hindi dumidikit ang pandikit na ito sa plastik.,this glue does not stick to plastic.,dili mani mu dikit na papilit kani na papilit dili mu dikit sa plastik.
sino ang batang babaeng iyon na kumakaway sa iyo?,who is that little girl waving at you?,kinsa kadtong bata nga babaye nga nanagad ug ni kaway kanimo?
ang makita siya ay ibigin siya.,to see him is to love him.,ang mahimamat siya kay mahigugma siya.
narinig ko na siya ay bumili ng bagong kompyuter.,i heard that he bought a new computer.,nakadungog ko nga nagpalit siya bag-ong kompyuter.
ang layo ng tindahang iyon.,that shop is far away.,ka layo sad ana nga tindahan.
"ipinanganak siya noong 1946, sa ika-19 ng agosto, sa california.","he was born in 1946, on the 19th of august, in california.","natawo siya kaniadtong 1946, kaniadtong agosto 19, sa california."
ang mga elepante ang pangunahing atraksyon ng sirko.,elephants are the main attraction of the circus.,ang mga elepante mao ang nanguna sa pagdani sa sirko.
ang kanyang kapatid na babae at ang asawa ng kapatid na babae niya ay naninirahan sa canada.,her sister and her sister's husband live in canada.,ang iyang igsoon nga babaye ug ang bana sa iyang igsoong babaye nagpuyo sa canada.
inilagay niya ang kanyang kamay sa aking balikat.,he put his hand on my shoulder.,gibutang niya ang iyang kamot sa akong abaga.
anong magandang oras para sa iyo?,what is a good time for you?,unsang maayong oras para kanimo?
"kapag mas mataas ang puno, mas mahirap itong akyatin.","the taller the tree, the more difficult it is to climb.","kung labi ka taas ang kahoy, mas labi ka lisud katkaton."
ang tumal ng negosyo sa mag araw na ito.,business is slow these days.,ka hinay sa negosyo karong adlawa.
huwag mong kalimutang isama ako sa mabibilang.,don't forget to include me in the count.,ayaw kalimti nga iapil ako sa ihap.
ang pelikulang iyan ay para sa mga bata.,that movie is for kids.,kana nga salida alang sa mga bata.
sinong nagtuturo sa iyo ng wikang aleman?,who teaches you german?,kinsa ang nagtudlo kanimo sa istoryang aleman?
buntis ba ako?,am i pregnant,mabdos ba ko?
"tulog ang mga tao kapag sila'y nabubuhay, sila'y gumigising kapag sila'y namamatay.","people sleep when they live, they wake up when they die.","ang mga tawo nangatulog sa diha nga sila nagpuyo, sila nahigmata sa diha nga sila namatay."
"dalhin mo ako ng suka at mantika, pakisuyo.","bring me vinegar and oil, please.","dad-i ako, suka, ug mantika, palihog."
ang mga inca ay mga taong relihiyoso.,the incas were a religious people.,ang mga inca mga relihiyoso nga tawo.
may kulangot ka sa buhok mo.,you have frizz in your hair.,naa kay kugmo sa imong buhok.
ito ang pinakamainit na tag-araw na nagkaroon tayo sa loob ng limampung taon.,this is the hottest summer we've had in fifty years.,mao kini ang pinakainit nga ting-init nga natagamtaman nato sulod sa singkwenta ka tuig.
ang aklat na ito ay hindi kasing-interesante kaysa sa aklat na iyon.,this book is not as interesting as that book.,kini nga libro dili ingon ka nindot kaysa atong libroha.
si tom ay nagsusuot ng isang bagong pares ng sapatos.,tom is wearing a new pair of shoes.,si tom nagsul-ob sa usa ka bag-ong pares nga sapatos.
kotse ko ito.,this is my car.,awto nako kini.
"bibisitahin tayo bukas ng isang kaibigan mula sa oregon, si g. brown.","a friend from oregon, mr. brown, will visit us tomorrow.","bisitahon kami ugma sa usa ka higala gikan sa oregon, si g. brown."
gisingin mo ako.,wake me up,pukawa ko.
"hindi lang damit ang ibinigay niya sa amin, kundi pati kaunting pera.","he gave us not only clothes, but also some money.","gihatagan niya kami dili lamang mga sinina, apan adunay usab gamayng salapi."
"oo, pumunta ako roon 2 o 3 beses.","yes, i went there 2 or 3 times.","oo, niadto ako didto 2 o 3 ka beses."
saan ang pinakamalapit na museo?,where is the nearest museum?,asa ang pinakaduol nga museyo?
hindi pa rin natapos ang digmaan.,the war is still not over.,wala pa gihapon na human ang giyera.
"pagkadating niya sa bahay, naglaro siya ng isang laro sa kompyuter.","when he got home, he played a computer game.","pag-abut niya sa balay, nagdula siya sa usa ka dula sa kompyuter."
pumunta siya sa amerika.,he went to america.,pumunta siya sa amerika.
narinig ko na pumasa siya sa eksamen.,i heard that he passed the exam.,nakadungog ko nga naka sugakod siya sa exam.
martes ang araw ng kalayaan.,tuesday is independence day.,martes mao ang adlaw sa kagawasan.
nakatanggap ako ng masamang balita mula sa bahay ngayong araw.,i received bad news from home today.,nakadawat ako dili maayong balita gikan sa balay karon.
"suot niya ang sapatos, ngunit hindi niya suot ang medyas.","he is wearing the shoes, but he is not wearing the socks.","nagsul-ob siya og sapatos, apan wala siya nagsul-ob og medyas."
bawal magdikit ng papel sa pader.,don't stick paper on the wall.,gidili ang pagdikit papel sa dingding.
magkakaroon siya ng sanggol sa darating na buwan.,she will have a baby next month.,manganakay siya sa umaabot nga mga bulan.
tapos ko nang gawin ang lahat ng aking takdang-aralin at nais kong magpahinga nang saglit.,i have finished doing all my homework and i want to rest for a while.,nahuman nako ang tanan nga buluhaton sa balay ug gusto nako nga mopahulay kadiyot.
palagi siyang natatagalan sa pagpili ng kanyang damit.,she always took a long time choosing her clothes.,kanunay siya maulahi sa pagpili sa iyang sinina.
sumulat si fred ng isang mahabang sulat sa kanyang nanay.,fred wrote a long letter to his mother.,si fred nagsulat usa ka taas nga sulat alang sa iyang inahan.
"ako sa inyo, mananahimik ako.","as for you, i will be silent.","kung ako ninyo, mag hilom ko."
pupunta kami sa libingan ngayon na.,we are going to the grave now.,mu adto mi sa lubnganan karon dayon.
nakilala siya ng marami sa loob ng teatro.,he was recognized by many inside the theater.,daghan naka ila niya sa sulod sa teatro.
nagdala sila sa akin ng ilang libro.,they brought me some books.,gi dad an ko nila ug pila ka libro.
mas nagalit ako dahil tinawanan niya ako.,i was even more angry because he laughed at me.,mas nasuko ko kay gikataw-an ko niya.
sino ang taong ito?,who is this person?,kinsa ning tawhana?
nais kong malaman bakit ganoon ang sinabi niya.,i want to know why he said that.,gusto nako mahibal-an kung ngano ingon ato iyang gi ingon.
naligo kami sa putik.,we bathed in mud.,naligo kami sa lapok.
kalbo si tom.,tom is bald.,opaw si tom.
ilarawan mo sa akin si tom.,describe tom to me.,ihulagway kanako tom.
pahintayin siya nang sandali.,make him wait a moment.,pahulata siya kadiyot.
ang mga manggagamot ay nagliligtas ng mga buhay.,physicians save lives.,ang mga doktor nagaluwas ug kinabuhi.
ang malungkot na istorya ay nagpaiyak sa amin.,the sad story made us cry.,ang masulub-on na istorya ang nagpa hilak kanamo.
"gusto ko siya hindi dahil sa siya'y mabait, ngunit dahil siya'y matapat.","i like him not because he is nice, but because he is honest.","ganahan ko niya dili tungod kay buotan siya, apan tungod kay siya matinuoron."
iyon ay mangyayari.,that will happen.,maghitabo kana.
sumulat siya ng isang liham.,he wrote a letter.,nagsulat siya usa ka sulat.
walang nakakapaglutas sa problemang ito.,nothing solves this problem.,wala?y makasulbad sa kini nga problema.
hindi palaging nakukuha ni tom ang kanyang gusto.,tom doesn't always get what he wants.,dili kanunay makuha ni tom ang gusto niya.
salamat sa pagtitiwala sa akin.,thank you for trusting me.,salamat sa pagsalig nako.
sila ay isa sa amin.,they are one of us.,siya kay usa saato.
hindi siya nakapag-aral sa ibang bansa dahil sa kakulangan sa pera.,he could not study abroad due to lack of money.,wala siya nakatuon sa gawas sa nasud tungod sa kakulang sa kwarta.
hindi mo alam kung gaano akong nag-aalala.,you don't know how worried i am.,wala nimo hibal-an kung unsa ako nabalaka.
trabaho ng mga mag-aaral ang linisin ang kanilang mga silid-aralan.,it is the students' job to clean their classrooms.,trabaho sa mga estudyante ang paglimpiyo sa ilang mga classroom.
tumingin ako sa paligid.,i looked around.,ni tan-aw ko sa palibot.
ang kapatid kong babae ay naglalaro ng manika.,my sister is playing with a doll.,ang akong igsoon nga babaye nagdula ug mga manyeka.
"oo, may magandang ideya ako.","yes, i have a great idea.","oo, adua akoy maayong ideya."
nabulag siya.,he went blind.,nabuta siya.
natagpuan nila ang bangkay ng isang sanggol na bagong kapanganak sa loob ng isang freezer.,they found the body of a newborn baby inside a freezer.,nakit-an nila ang lawas sa usa ka bag-ong natawo nga bata sa sulod sa usa ka freezer.
anong masasabi ko?,what can i say?,unsa man ang akong masulti?
hindi ko maaaring sabihin sa iyo kung anong dapat mong gawin.,i can't tell you what to do.,dili ko isulti kanimo kung unsa ang kinahanglan nimo buhaton.
gusto kong sabihin ni tom sa akin anong ibig sabihin niya doon.,i want tom to tell me what he means by that.,gusto nako isulti ni tom nako kung unsa ang iyang gipasabut didto.
walang dumating sa araw na ito.,no one came today.,wala?y ning-abut karong adlawa.
siya ay may matitibay na buto at ngipin.,he has strong bones and teeth.,gahi ang iyang bukog ug ngipon.
pinapangarap kong pumunta sa mexico.,i dream of going to mexico.,nagdamgo ko nga maka adto sa mexico.
"siya ay may tatlong kapatid na babae: ang isa ay nars, at ang iba ay mga guro.","he has three sisters: one is a nurse, and the others are teachers.","adunay siya tulo ka igsoong babaye: ang usa nars, ug ang usa magtutudlo."
lumubog kahapon ang isang bapor malapit dito.,a ship sank yesterday near here.,usa ka barko ang nalunod duol diari gahapon.
nakalimutan kong dalhin ang aking payong.,i forgot to bring my umbrella.,nakalimot ko sa pagdala sa akong payong.
"sa paris, sila ay nagsasalita ng pranses.","in paris, they speak french.","sa paris, pranses ilang gina sulti."
siya ay ang asawa niya sa ngayon.,she is his wife now.,asawa niya siya karon.
sana mamatay ka.,i hope you die.,unta mamatay ka.
dumating siya na bitbit ang isang malaking kumpol ng bulaklak.,he came carrying a large bunch of flowers.,miabut siya nga nagdala usa ka daghang hugpong sa mga bulak.
"sa una, hindi ko alam anong gagawin.","at first, i didn't know what to do.","sa una, wala ko kabalo kung unsa ang buhaton."
ang agang dumating ni tom; hindi pa handa si mary.,tom's early arrival; mary is not ready yet.,sayo nga miabut si tom; si mary dili pa andam.
alam ko ang buong kwento.,i know the whole story.,kahibalo ko sa tibuuk nga istorya.
walang sakit na diyabetis si tom.,tom does not have diabetes.,si tom wala?y sakit na diabetes.
hindi pa tapos si tom.,tom isn't done yet.,wala pa nahuman si tom.
