tagalog,english,cebuano,kapampangan,bicolano
Ang karamihan ng mga kolonista sa Marte ay mga Budista.,The majority of colonists on Mars are Buddhists.,Kadaghanan sa mga kolonista sa Marte kay mga Budista.,Buddhista la reng keraklan kareng manuknangan king Mars.,An mayoriya kan mga kolonista sa Mars mga Budista.
Mga lotus ang dekorasyon sa mga templo ng Marte.,The temples of Mars were decorated with lotuses.,Mga Pagusi ang dekorasyon sa mga agigising sa Marte.,Deng templu ning Mars makadekorasyun la kareng lotus.,An mga templo kan Mars pigdekorasyonan nin mga lotus.
Nag-aaral ng mineralohiya si Andong sa Unibersidad ng Marte sa Barsoom.,Andong studies mineralogy at the University of Mars in Barsoom.,Nag-eskwela og mineralohiya si Andong sa Kinatumhaan sa Marte sa Barsoom.,I Andong magaral yang mineralogy king Unibersidad ning Mars king Barsoom.,Si Andong nag-aadal nin mineralogy sa Unibersidad kan Mars sa Barsoom.
Tagapamahayag si Jetjet ng Diyaryo ng Marte.,Jetjet is a reporter for Diyaryo ng Marte.,Si Jetjet usa ka tigpamalita sa diyaryo sa Marte.,Jetjet is a reporter for Diyaryo ng Marte.,An Jetjet sarong reporter para sa Diyaryo ng Marte.
Ang ospital nitong kolonya sa Marte ay nasa ilalim ng lupa.,This colony's hospital on Mars is underground.,Ang balay tambalanan diri sa Marte anaa nahimutang sa ilalom sa yuta.,Ing ospital na niting kolonya keng Mars atyu ya keng lalam ning gabun.,An ospital kan kolonyang ini sa Mars nasa irarom kan daga.
Masaya ang mga bata sa pista noong ika-300 anibersaryo ng kolonya ng Marte.,Children have fun at the 300th anniversary celebration of the Mars colony.,Malipayon ang mga bata sa pyesta niadtong ika-300 nga anibersaryo sa kolonya sa Marte.,Deng anak masaya la keng 300th aniversary celebration ning Mars colony.,An mga kaakian nag-oogma sa ika-300 na anibersaryo kan kolonya kan Mars.
Kain nang kain ang mga masasayang nagpipistahan sa loob ng domo sa Barsoom.,The happy feasters inside the domo in Barsoom eat their food.,Nag sige ug kaon ang mga malipayong nag selebrar sa pyesta sulod sa domo sa Barsoom.,Ding masayang feaster kilub ning domo king Barsoom kakanan da ing karelang pamangan.,An mga maogmang parapiyesta sa laog kan domo sa Barsoom nagkakakan kan saindang kakanon.
Kantahan at tawanan ang mga nagpipista sa loob ng domo sa Barsoom.,Sing and laugh with the revelers inside the domo in Barsoom.,Nag awit ug nagkatawa ang mga nag selebrar sa pyesta sulod sa domo sa Barsoom.,Magkanta at tumawa kareng revelers keng kilub ning domo keng Barsoom.,Magkanta asin magngisi kaiba an mga paraogma sa laog kan domo sa Barsoom.
Masaya sila dahil bata pa sila at narito sila sa Barsoom.,They are happy because they are young and here in Barsoom.,Malipayon sila tungod kay bata pa sila ug anaa sila Barsoom.,Masaya la kasi kayanakan la at keni Barsoom.,Maogma sinda ta hoben pa sinda asin igdi sa Barsoom.
Mga Budista ang mga tao sa Barsoom.,The people of Barsoom are Buddhists.,Mga Budista ang katawhan sa Barsoom.,Buddhista la reng tau king Barsoom.,An mga tawo sa Barsoom mga Budista.
Naging Budista ang kalahati ng mundo.,Half the world became Buddhist.,Nahimong Budista ang katunga sa mga katawhan sa kalibutan.,Ing kapitna ning yatu meging Buddhist ya.,An kabanga kan kinaban nagin Budista.
Masaya ang mga tao sa Barsoom dahil noong bata pa sila ay Budista na sila.,The people of Barsoom are happy because they were Buddhist when they were young.,Malipayon ang mga katawhan sa Barsoom tungod Budista na sila sukad paman pagka bata.,Masaya la reng tau Barsoom uling Buddhist la anyang malati la pa.,Maogma an mga taga-Barsoom huli ta sinda Budista kan sinda hoben pa.
Nagsiksik ang mga nagpipista sa tabi ng Plaza Burroughs.,Revelers crowded the side of Plaza Burroughs.,Nag guot ang mga nag selebrar sa pyesta daplin sa Plaza Burroughs.,Deng magsaya mesiksik la keng gilid ning Plaza Burroughs.,An mga para-ogma nag-iriba sa gilid kan Plaza Burroughs.
Gumawa ka ng espasol para sa akin.,You made a spasol for me.,Pagbuhat ug espasol alang sa akoa.,Ginawa kang spasol kaku.,Ginibo mo akong spasol.
Sa Superklaster ng Bilonggo ay may nadiskubreng mga intelihenteng espesye.,In the Bilonggo Supercluster an intelligent species has been discovered.,Sa Superklaster sa Bilonggo adunay nakaplagang mga maalamong klase.,King Bilonggo Supercluster metung yang matalinong species ing meyakit.,Sa Bilonggo Supercluster sarong intelihenteng klase an nadiskobre.
Gusto niyang maging parang simpleng driptwud kaya nag-aral siya ng Dao.,He wanted to be like a simple dripwood so he studied the Dao.,Pangandoy niya mahimong sama sa yano nga gapo busa nagtuon siya og Dao.,Buri na maging anti yang simpleng dripwood inya megaral ya keng Dao.,Gusto niyang magin arog kan simpleng dripwood kaya pinag-adalan niya an Dao.
Ang populasyan ng planetang Gandong ay mga dalawang daang libo lamang.,The population of the planet Gandong is only about two hundred thousand.,Ang kamulupyohan sa planetang Gandong kay aduna lamang duha ka gatos ka libo.,Ing populasyun ning planetang Gandong manga aduang dalan a libu la mu.,An populasyon kan planetang Gandong mga duwang gatos na ribo sana.
Nagkamping ang mga siyentipiko sa gubat ng planetang Wonggong.,The scientists camped in the jungle of the planet Wonggong.,Nag kamping ang mga sayantipiko sa lasang sa planetang Wonggong.,Ding siyentipiku migkampu la king kagubatan ning planetang Wonggong.,Nagkampo an mga siyentipiko sa kagubatan kan planetang Wonggong.
Mas gusto ni Jongjong ang Budismo kaysa sa ibang relihiyon.,Jongjong prefers Buddhism to other religions.,Mas pangandoy ni Jongjong ang Budismo kaysa sa ubang relihiyon.,Mas buri nang Jongjong ing Budismo kesa kareng aliwang relihiyon.,Mas gusto ni Jongjong an Budismo kisa sa ibang relihiyon.
Ang espesyeng Pinokyo ay matitilos ang ilong at nakatira sila sa planetang Pinokyohan.,The Pinokyo species have sharp noses and they live on the planet Pinokyohan.,Ang klaseng Pinokyo kay adunay hait nga ilong ug nagpuyo sa planetang Pinokyohan.,Deng species a Pinokyo atin lang mataram a arung at manuknangan la keng planetang Pinokyohan.,An species na Pinokyo igwa nin matarom na dungo asin sinda nabubuhay sa planetang Pinokyohan.
"Taga-Benus ang pamilya ni Ronron, pero lumaki siya sa Marte.","Ronron's family is from Benus, but he grew up on Mars.","Taga-Benus ang pamilya ni Ronron, apan midako siya sa Marte.","Ing pamilya nang Ronron ibat la king Benus, dapot meragul ya king Mars.","Taga Benus ang pamilya ni Ronron, pero nagdako siya sa Mars."
Seramik ang bahay ni Benji at kumikislap sa araw.,Benji's house is ceramic and sparkles in the sun.,Seramiko ang balay ni Benji nga nagpangidlap sa adlaw.,Ing bale nang Benji ceramic ya at kikislap ya keng aldo.,An harong ni Benji seramiko asin nagkikinang sa saldang.
Moradong kanin ang popular na pagkain sa planetang Empong.,Rice is the popular food on the planet Empong.,Morado nga kan-on ang bantog nga pagkaon sa planetang Empong.,Ing nasi ing sikat a pamangan king yatung Empong.,An bagas iyo an sikat na kakanon sa planetang Empong.
Kumakanta si Totong ng pinakapopular na kanta sa planetang Imonggo.,Totong sings the most popular song on the planet Imonggo.,Gakanta si Totong sa pinaka bantogang kanta sa planetang Imonggo.,Totong sings the most popular song on the planet Imonggo.,Si Totong nagkakanta kan pinakasikat na kanta sa planetang Imonggo.
Gusto nina Totong at Mareng pumunta sa buwang Triton.,Totong and Mareng want to go to the moon Triton.,Pangandoy nila Totong ug Mareng ang muadto sa bulang Triton.,Buri da ri Totong at Mareng munta king bulan a Triton.,Si Totong asin si Mareng gustong magduman sa bulan na Triton.
Umalis si Totong pakalawakan hanggang Hupiter.,Totong left the space to Jupiter.,Mipanaw si Totong sa wanang hangtod Jupiter.,Likuan neng Totong ing espasyu kang Jupiter.,Binayaan ni Totong an espasyo ki Jupiter.
Naging independiyente ang Sistemang Hupiter sa Tiyera mula nang 200 taon ang nakalipas.,The Jupiter System has been independent of Tiera since 200 years ago.,Nahimong makinaugalingon ang Sistemang Hupiter gikan pa adtong 200 ka tuig nga milabay.,Ing Jupiter System metung yang independenti keng Tiera manibat 200 banua na ing milabas.,An Sistema nin Jupiter independiente sa Tiera poon pa kan 200 na taon na an nakaagi.
Ayokong pumasok sa eskwela.,I don't want to go to school.,Dili ko gusto mosulod sa eskwela.,Eku bisang munta eskwela.,Habo kong magduman sa eskwelahan.
Naging independiyente ang Marte sa Tiyera mula nang 315 taon ang nakalipas.,Mars has been independent of Tiyera since 315 years ago.,Nahimong makinaugalingon ang Marte sa Tiyera gikan pa adtong 315 ka tuig nga milabay.,Ing Mars timawa ya keng Tiyera manibat 315 banua na ing milabas.,An Mars nagin independiente sa Tiyera poon pa kan 315 taon na an nakaagi.
Ang populasyon sa labas ng Tiyera ay lumampas ng sa Tiyera mula nang 517 taon ang nakalipas.,The population outside of Tiyera has exceeded that of Tiyera since 517 years ago.,Ang kamulupyohan sa gawas sa Tiyera kay milampas na sa Tiyera sukad pa man niadtong 517 ka tuig ang milabay.,Ing populasyun king lual ning Tiyera migit ya king Tiyera manibat inyang 517 banwa ing milabas.,An populasyon sa luwas kan Tiyera nalampasan na an populasyon kan Tiyera poon pa kan 517 taon na an nakaagi.
Ang dakilang relihiyon sa Marte ay Budismo.,The great religion on Mars is Buddhism.,Ang bantogan nga relihiyon sa Marte mao ang Budismo.,Ing pekamaragul a relihiyon keng Mars yapin ing Buddhism.,An dakulang relihiyon sa Mars iyo an Budismo.
Nagsasamba ang mga Marsiyano sa kanilang templo.,The Martians worship in their temple.,Naga simba ang mga Marsiyano sa ilang templo.,Deng Martians sasamba la keng templo da.,An mga taga-Mars nagsasamba sa saindang templo.
Malaking industriya ang paggawa ng berdeng keso sa kolonya sa Buwan.,Green cheese production is a large industry in the Moon colony.,Dako ang industriya sa pagbuhat og lunhaw nga keso sa kolonya sa Bulan.,Ing pamaglalang green cheese metung yang maragul a industriya keng Moon colony.,An produksyon nin berdeng keso sarong dakulang industriya sa kolonya kan Bulan.
Masasarap ang mga pagkain sa mga restawran sa Barsoom.,The meals at the restaurants in Barsoom are delicious.,Lamian ang mga pagkaon sa mga restawran sa Barsoom.,Manyaman la reng pamangan kareng pipanganan keng Barsoom.,Masiram an mga pagkakan sa mga restawran sa Barsoom.
Ano ang paborito mong planeta sa Sistemang Solar?,What is your favorite planet in the Solar System?,Unsa ang imong paboritong planeta sa Sistemang Solar?,Nanu ing paborito mung planeta keng solar system?,Ano an saimong paboritong planeta sa Sistema Solar?
Hugo ng gumamela ang gusto ni Totong.,Totong wanted Hugo of Gumamela.,Gata sa gumamela ang gusto ni Totong.,Buri neng Totong i Hugo ning Gumamela.,Gusto ni Totong si Hugo kan Gumamela.
Maraming alagang kambing si Totong sa bukid.,Totong has many goats in the farm.,Adunay daghang binuhing kanding si Totong sa bukid.,I Totong dakal ya kambing king marangle.,Dakul an kanding ni Totong sa oma.
Nagkalesa ang mga Budistang papuntang templo nila.,The Buddhists took a chariot to their temple.,Nagkalesa ang mga budista padulong sa ilahang templo,Deng budista migdala lang kareta papunta keng karelang templo.,An mga Budista nagdara nin karuwahe pasiring sa saindang templo.
Ang Republika ng Maharlika ay Budismo ang relihiyon.,The Royal Republic's religion is Buddhism.,Budismo ang relihiyon sa Republika sa Maharlika.,Ing Relihiun ning Royal Republic yapin ing Budismo.,An relihiyon kan Real Republika iyo an Budismo.
Maraming templo sa Republika ng Maharlika.,There are many temples in the Royal Republic.,Adunay daghang templo sa Republika sa Maharlika.,Dakal la reng templo king Royal Republic.,Dakul an mga templo sa Republika Real.
Sa mga pagitan ng mga lungsod sa Republika ng Maharlika ay mga gubat at bukid.,Between cities in the Royal Republic are forests and fields.,Sa taliwala sa mga lungsod sa Republika sa Maharlika adunay mga lasang ug kabukiran.,King pilatan da reng lakanbalen king Royal Republic atin lang kagubatan ampong marangle.,Sa pag-ultanan kan mga syudad sa Real Republika igwa nin mga kagubatan asin mga oma.
Gusto niyang kumain ng pitsa sa dalampasigan.,He wants to eat pizza on the beach.,Gapangadoy siyang mukaon ug pitsa sa baybayon.,Buri na ing mangan pizza keng pampang.,Gusto niyang magkakan nin pizza sa baybayon.
Mas gusto niyang kumain ng pitsang may halamang dagat.,He prefers to eat pizza with seaweed.,Mas ganahan siyang mukaon ug pitsa nga adunay guso.,Mas buri na ing pizza na ating seaweed.,Mas gusto niyang magkakan nin pizza na may seaweed.
Mas masarap ang pitsang may halaan o tahong sa ibabaw.,The pitas with halaa or mussels on top is tastier.,Mas lami ang pitsa nga adunay halaan ug tahong sa babaw.,Mas manyaman ing pitas na ating halaa o mussels keng babo.,Mas masiram an pitas na may halaa o tahong sa ibabaw.
Maraming kabuti ang gusto ni Totong sa kanyang pitsa.,Totong likes a lot of goodness in his pizza.,Ganahan si Totong ug daghang uhong sa iyang pitsa.,I Totong buri na ing dakal a kayapan keng pizza na.,Dakul an gusto ni Totong na karahayan sa saiyang pizza.
Tengang-daga ang gusto ni Totong sa pitsa niya.,Totong likes his pizza with rat ears.,Dalunggan sa ilaga ang ganahan ni Totong sa iyang pitsa.,Kaburi nang Totong ing pizza na atin balugbug dagat.,Gusto ni Totong an saiyang pizza na may talinga nin daga.
Pugita ang gusto ni Totong sa pitsa niya.,Totong likes squid on his pizza.,Kugita ang ganahan ni Totong sa iyang pitsa.,I Totong buri na ing pusit keng pizza na.,Mahilig si Totong nin pusit sa saiyang pizza.
Kugita ang gusto ni Totong sa pitsa niya.,Totong likes squid on his pizza.,Kugita ang ganahan ni Totong sa iyang pitsa.,I Totong buri na ing pusit keng pizza na.,Mahilig si Totong nin pusit sa saiyang pizza.
Tinatandaan ang aksento sa Tagalog dahil karaniwang sinusulat itong walang mga kudlit.,The accent in Tagalog is remembered because it is usually written without apostrophes.,Ginatiman-an ang tonada sa Tagalog tungod sa kasagaran kining ginasulat nga walay kudhit.,Ing accent keng Tagalug atatandanan ya uling keraklan alang apostrophe ing susulat.,An aksento sa Tagalog nagigiromdoman nin huli ta ini parati nasusurat na mayong apostrophe.
Parang Ruso ang Tagalog dahil karaniwang di sinusulat ang mga kudlit para sa aksento.,Tagalog is like Russian because apostrophes for accent are usually not written.,Susama sa Ruso ang Tagalog tungod kay kasagaran dili ginasulat ang mga kudhit alang sa mga tonada niini.,Kalupa ne ning Rusu ing Tagalug uling keraklan e la makasulat deng apostrophe para king accent.,An Tagalog arog kan Ruso huli ta an mga apostrophe para sa aksento parati dai nasusurat.
Binati ni Dodong si Totong sa harap ng bahay.,Dodong greeted Totong in front of the house.,Giabi-abi ni Dodong si Totong atubangan sa balay.,Binati neng Dodong i Totong king arap ning bale.,Binati ni Dodong si Totong sa atubangan kan harong.
Maraming olibo ang gusto ni Totong sa pitsa niya.,Totong likes a lot of olives on his pizza.,Daghang olibo ang ganahan ni Totong sa iyang pitsa.,I Totong buri na ing dakal a olibo keng pizza na.,Gusto ni Totong an kadakol na olibo sa saiyang pizza.
Hindi palaging nagsasabi ng totoo si Tom.,Tom doesn't always tell the truth.,Dili kanunay gasturya ug tinuod si Tom.,E ya parating magsalitang tutu i Tom.,Si Tom dai pirming nagsasabi kan totoo.
Maghugas ka ng kamay bago humawak ng pagkain.,Wash your hands before handling food.,Pang hugas daan ug kamot bago ka mugunit sa pagkaon.,Maghugas ka gamat bayu ka manyambut pamangan.,Maghugas nin kamot bago magkapot nin kakanon.
Mayroon bang haykap na galing sa kalawakan?,Is there a fan from outer space?,Aduna ba'y haykap na gikan sa kawanangan,Atin bang bentilador ibat keng kalawakan?,Igwa daw nin bentilador hale sa espasyo?
"Sa tingin ko, ang pagpapanuod ng ordinaryong telebisyon ay trabaho.",I think watching ordinary television is work.,"Sa akong panglantaw, ang pagtan-aw og ordinaryong telebisyon usa ka trabaho.",isipan ku ing manalbe ordinaryung telebisyon obra ya.,Sa hiling ko trabaho an pagdalan nin ordinaryong telebisyon.
Seramik ang bubong ni Totong at kumikislap sa araw.,Totong's roof is ceramic and sparkles in the sun.,Seramiko ang atop ni Totong nga gapangsidlak sa adlaw.,Ceramic ya ing bubungan ng Totong at kikislap ya keng aldo.,Seramiko an atop ni Totong asin nagkikinang-kinang sa saldang.
Umiinom ng isang basong sarsaparilya si Enrico.,Enrico is drinking a glass of sarsaparilla.,Gainom ug isa ka baso nga sarsaparila si Enrico.,Miminum yang basung sarsaparilla i Enrico.,Si Enrico nag-iinom nin sarong baso nin sarsaparilla.
Palibot ng kastilyo ay mga maraming halaman.,Around the castle are many plants.,Sa palibot sa kastilyo adunay daghang mga tanom.,King paligid ning kastilyu dakal lang tanaman.,Sa palibot kan kastilyo igwa nin kadakol na mga tinanom.
May mga isla sa dagat.,There are islands in the sea.,Adunay mga isla sa dagat.,Atin yang pulu keng dagat.,May mga isla sa dagat.
Babae kayong takot sa pusa.,You women are afraid of cats.,Mga babae kamo nga hadlukan sa iring.,Ikayung babai tatakut kayu kareng pusa.,Kamong mga babae natatakot sa mga pusa.
Akala ninyo'y marumi ang buhok ninyo.,You thought your hair was dirty.,Nagtuo mo na hugaw ang inyong mga buhok.,Akala mu madumi ya ing buak mu.,Huna mo maati an saimong buhok.
Nahihinaan ako sa wika ninyo.,I am weak in your language.,Nahuyangan ko sa inyong sinultian.,Maina ku king kekang amanu.,Maluya ako sa saimong tataramon.
Akala ninyo kung sino kayo. Tae lamang.,Think about who you are. Just shit.,Mura mog mga si kinsa. Tae ra gyud.,Isipan mu nung ninu ika. Tae lang.,Isipon kun siisay ka. Tae lang.
Takot kayo sa mga pusa.,You are afraid of cats.,Hadlok kamo ug iring.,Tatakut ka kareng pusa.,Natatakot ka sa mga pusa.
Nalulungkot kayo dahil sa relihiyon ninyo.,You are sad because of your religion.,Nasubo ko tungod sa inyong relihiyon.,Malungkut kayu uli na ning relihiyon yu.,Namumundo ka huli kan saimong relihiyon.
Parang lolo ang wika mo.,You speak like a grandfather.,Sama sa tigulang nga lalake ang imong pinulungan.,Magsalita kang kalupa ning metung a apu.,Nagtataram ka na garo sarong lolo.
Di kayo masyadong intelihente.,You are not very intelligent.,Dili kaayo mo maalamon.,E ka masyadung matalino.,Bako kang gayong intelihente.
Di kayo mahal ng Diyos ko.,My God does not love you.,Wala kamo higugmaa sa akong Ginoo.,E na ka kaluguran ning Dios ku.,Dai kamo namomotan kan sakong Dios.
Naiintindihan ng buong daigdig ang wika ko.,The whole world understands my language.,Nasabtan sa tibuok kalibutan ang akong pinulungan.,Ing mabilug a yatu aintindian ne ing amanu ku.,An bilog na kinaban nakakasabot kan sakuyang tataramon.
Ano ba 'yan?,what is that,Unsa man na?,nanu yan,ano iyan
Takot din sa astronomiya?,Also afraid of astronomy?,Mahadlokon sab sa astronomiya?,tatakut ka rin keng astronomy?,Natatakot ka man sa astronomiya?
Ang buong rasa ninyo'y simbolo lamang ng retribusyon.,Your whole race is just a symbol of retribution.,Ang inyong tibuok kaliwat nagpatimaan lamang og pagsilot.,Ing mabilug mung lahi metung ya mung simbulu ning pamanablas.,An bilog mong rasa sarong simbolo sana nin pagbalos.
Simbolo lamang. Metapora.,Just a symbol. Metaphor.,Larawan ra. Sambingay.,metung mung simbolu. Metaphor.,Sarong simbolo sana. Metapora.
Naging tamad na ang katauhan nila.,Their personality has become lazy.,Nahimong tapulan ang ilang persona.,Ing karelang pangatau meging matamad na.,An saindang pagkatawo nagin hugakon.
Akala nila'y tao siya.,They thought he was human.,Nagtuo sila nga tao siya.,Aisip da na tau ya.,Naghona sinda na siya tawo.
Wala akong manedyer. Ikaw meron.,I don't have a manager. You have,Wala koy magdudumala. Ikaw naa.,Ala kung manager. Atin kang,Mayo akong manedyer. Igwa ka nin
Inuutusan ka na.,You are being ordered.,Ginasugo naka.,Ika ing miutus.,Pigsusugo ka.
May bayad ka?,Are you paid?,Anaa ba kay bayad?,Mebayaran ka?,May bayad ka?
Pangit ang relihiyon ninyo.,Your religion is ugly.,Ngil-ad ang inyong relihiyon.,Pangit ya ing relihiyon mu.,Pangit an saimong relihiyon.
Naging alila ka na ng mga hayop.,You have become a slave to animals.,Nahimo ka nang sulugoon sa mga hayop.,Meging ipus na ka karing animal.,Nagin oripon ka nin mga hayop.
Wala silang tiwala sa katauhan ng daigdig na ito.,They do not trust the people of this world.,Wala silay pagsalig sa mga katawhan ani nga kalibutan.,Ala lang kapanaligan karing tau keti king yatu.,Dai sinda nagtitiwala sa mga tawo sa kinaban na ini.
"Ay, ginagamit nila ang manuwal sa sikolohiya.","Oh, they use the psychology manual.","Ay, ilahang ginagamit ang manwal sa sikolohiya.","Oh, gagamitan de ing psychology manual.","Oh, ginagamit ninda an manwal sa sikolohiya."
Di siya tao.,He is not human.,Dili siya tao.,E ya tau.,Bako siyang tawo.
Pinalaya ni Tom ang ibon.,Tom freed the bird.,Gibuhian ni Tom ang langgam.,Pepalaya neng Tom ing ayup.,Pinatalingkas ni Tom an gamgam.
Isip mo'y lahat ay trabaho kundi manuod ng telebisyon.,Think everything is work but watch television.,Sa imong huna-huna tanan trabaho baylo sa paglantaw ug telebisyon.,isipan mu ing sabla obra ya pero manalbe kang telebisyon.,Isipon na an gabos trabaho alagad magdalan nin telebisyon.
Isip mo'y lahat ay trabaho puwera sa manuod ng telebisyon.,Think that everything is work except for watching television.,Sa imong huna-huna tanan trabaho gawas sa paglantaw ug telebisyon.,Isipan mu na ing sabla obra mu maliban keng pamanalbe telebisyon.,Isipon na an gabos trabaho apwera sa pagdalan nin telebisyon.
Nasasarapan sila sa sarili nilang propaganda.,They enjoy their own propaganda.,Naganahan sila sa ilang kaugalingong propaganda.,Masaya la keng sarili dang propaganda.,Naoogma sinda sa sadiri nindang propaganda.
"Akala nila'y importante ang opinyon ng lahat ng tao, kaya nagpropropaganda sila.","They thought everyone's opinion was important, so they propagated.","Nagtuo sila nga importante ang panahom sa tanang katawhan, mao nang nag propaganda sila.","Aisip da na ing opinyun ning balang metung importanti ya, inya migpropagate la.","Sa paghona ninda mahalaga an opinyon kan gabos, kaya nagpalakop sinda."
"Ang buong daigdig ay parang kulungan, kaya kailangan ang pakalawakan.","The whole world is like a prison, so space is needed.","Ang tibuok kalibutan masusama sa prisohan, busa kinahanglan ang kawanangan.","Ing mabilug a yatu kalupa ne ning sukulan, inya kailangan ing espasyu.","An bilog na kinaban garo bilanggoan, kaya kaipuhan an espasyo."
Tingin ko'y di masyadong apektado ang tao ng propaganda nila.,I think people are not affected much by their propaganda.,Sa akong panglantaw dili kaayo apektado ang tawo sa ilang propaganda.,bala ku e la masyadung apektadu deng tau keng karelang propaganda.,Sa hiling ko an mga tawo dai gayong apektado kan saindang propaganda.
Di makaagham ang propaganda nila dahil di nila sinusukat ang kabisahan.,Their propaganda is not scientific because they do not measure memorization.,Dili maka-sensya ang ilahang propaganda tungod kay wala nila sukda ang ilang kaalam.,E scientific ing karelang propaganda uling e da sukad ing pamag-memorize.,An saindang propaganda bakong sientipiko huli ta dai ninda sinusukol an pagmemorya.
Parang mga random ang epek ng propaganda nila.,The effect of their propaganda seems to be random.,Murag sinalagma ang epekto sa ilahang propaganda.,Ing epektu ning karelang propaganda balamu alang patugut.,An epekto kan saindang propaganda garo baga basta-basta sana.
Kung nag-iingles sila'y para silang umiiyak.,If they speak English it's like they're crying.,Kung mamulong silag ingles mura silag gahilak.,Nung mag-English la balamu manangis la.,Kun sinda nagtataram nin Ingles garo sinda naghihibi.
Wala silang relihiyon.,They have no religion.,Wala silay relihiyon.,Ala lang reliyun.,Mayo sindang relihiyon.
Ayaw nilang may relihiyon sila.,They don't want to have a religion.,Dili sila ganahan nga aduna sila'y relihiyon.,E da buring mika-relihiyon.,Habo nindang magkaigwa nin relihiyon.
Matagal na silang nawalan ng relihiyon.,They lost their religion a long time ago.,Hagbay ra sila nga nawal-an ug relihiyon.,Mewala ing karelang relihiyon kanitang minunang panaun.,Haloy nang nawara an saindang relihiyon.
"Nakabilanggo ang tao sa daigdig na ito, kaya kailangan ang pagsasaliksik sa kalawakan.","Man is imprisoned in this world, so space research is necessary.","Piniriso ang mga tao niining kalibutana, maong kinahanglan ang pag panukiduki sa kawanangan.","Ing tau makasukul ya keng yatung ayni, inya kailangan ing pamanyaliksik keng kalawakan.","An tawo nakakulong sa kinaban na ini, kaya kaipuhan an pagsiyasat sa espasyo."
Maraming ilog sa Pransya.,There are many rivers in France.,Daghang suba sa Pransya.,Dakal la reng ilug king France.,Dakul an mga salog sa Pransya.
Kumain ka na ba sa isang restawran nang mag-isa?,Have you ever eaten at a restaurant alone?,Mikaon na ba ka sa restawran nga ikaw ra isa?,Mengan ka bang magdili-dili keng pipanganan?,Nagkakan ka na daw sa sarong restawran na solo?
Kalungkutan lamang ang gusto ninyo dahil ayaw ninyong magbati.,You only want sadness because you don't want to congratulate.,Tungog kay dili man kamo gusto makigdait sa usag-usa kasubo ra gyud ang inyong gipili.,Buri mu mung lungkut uling e mu buring magbati.,Kamunduan sana an gusto mo ta habo mong mag congratulate.
Siguro nananagarilyo ka sa tapat ng kompyuter mo.,Maybe you are fiddling in front of your computer.,Tingali ga-sigarilyo ka atubangan sa imong kompyuter.,mekad mag fiddling ka keng arap ning kekang computer.,Tibaad nagtutugtog ka sa atubangan kan saimong kompyuter.
Sino ba iyong Tomas at Maria na parati na lamang ninyong pinag-uusapan?,Who is that Tomas and Maria that you keep talking about?,Kinsa man diay na si Tomas ug Maria nga pirme,Ninu itang Tomas ampong Maria a pane yung pisasabyan?,Siisay idtong Tomas asin Maria na sige nindo pig-uulayan?
Masyado kang relihiyosa.,You are too religious.,Sobra ka ka relihiyosa.,Masyadu kang relihiyosu.,Masyado kang relihiyoso.
Walang Maria roon sa Hapon dahil iba ang pangalan niya.,There is no Maria in Japan because she has a different name.,Walay Maria didto sa Hapon tungod kay lahi ang pangalan nga iyang gigamit.,Ala yang Maria keng Japan uling aliwa ya lagyu.,Mayo nin Maria sa Hapon ta iba an pangaran kaini.
Gusto ninyong maging matanda na.,You want to be old.,Nangandoy mo nga mamahimo nang edaran.,Buri mu ing maging matwa ka.,Gusto mong magin gurang.
Gusto ninyong may mga obligasyon na parang matanda na.,You want to have obligations like an old man.,Ganahan mo ug naay mga obligasyon susama sa usa ka edaran.,Buri mu atin kang obligasyun kalupa ning metung a matwa.,Gusto mong magkaigwa nin mga obligasyon arog kan sarong gurang.
Gusto kayo ng mga kapitbahay ko dahil para kayong matatanda na.,My neighbors like you because you look old.,Ganahan akong mga silingan ninyo tungod kay mura na kamo ug mga edaran.,Kaburi daka reng siping ming bale uling matwa naka.,Gusto ka kan sakong mga kataed huli ta garo ka gurang.
Basta magpromot kayo ng relihiyong mas mabuti para sa inyo.,Just promote a religion that is better for you.,Basta pagpausbaw kamo ug relihiyon nga mas maayo para sa inyo.,Isulong me ing relihiyon na mas masanting para keka.,Ipalakop sana an sarong relihiyon na mas marahay para sa saimo.
Parang di bagay sa inyo na ang tradisyunal ninyong relihiyon.,It seems that your traditional religion does not suit you.,Murag wala na angay sa inyo ang inyuhang naandan nga relihiyon.,Balamu e ya makayagpang keka ing kekang tradisyunal a relihiyon.,Garo baga dai angay sa saindo an saindong tradisyonal na relihion.
Ang pagsusulat sa Ingles ay di gamot para sa aburido.,Writing in English is not medicine for the aburido.,Ang pagsulat sa ingles dili mao'y tubag para sa mga nabalaka.,Ing pamanyulat king English e ya panulu karing aburido.,An pagsurat sa Ingles bakong bulong sa mga aburido.
"Akala ko mayaman ang Europa, hindi pala.","I thought Europe was rich, it wasn't.","Nagtuo ko nga dato ang Europa, dili man diay.","Akala ku mabandi ya ing Europa, ali.","Huna ko mayaman an Europa, bako."
Nawala na ang mahiya sa buhay ninyo.,Shame has disappeared from your life.,Nawagtang na ang kaulaw sa inyong kinabuhi.,Mewala na ing kamarinayan king bie mu.,Nawara na an kasusupgan sa saimong buhay.
